author,comment,case_folded_comment
@meidysule1829,​ @sanyvideo9285 alasan apa anda bilang pecat. tolong dijelaskan jgn asal bunyi.,​ @sanyvideo9285 alasan apa anda bilang pecat. tolong dijelaskan jgn asal bunyi.
@Ber_cerita.id0,Nah ini hahaha tau kan knp rugi Mulu mafianya buanyaaaak,nah ini hahaha tau kan knp rugi mulu mafianya buanyaaaak
@hikma1-v8m,Rakyat Indonesia siap perang membela jaga keselamatan pak Purbaya.,rakyat indonesia siap perang membela jaga keselamatan pak purbaya.
@SandjayaWamsa,Kelahiran Bogor di tanah PASUNDAN. pasti buat orang kepanasan dan pada panik. Maju Mentri Purbaya,kelahiran bogor di tanah pasundan. pasti buat orang kepanasan dan pada panik. maju mentri purbaya
@DennydenzPermana,Syaa Warga Banten siap turun gunung membela pak Purbaya.,syaa warga banten siap turun gunung membela pak purbaya.
@haysnairte4,Keren pak Purbaya berani,keren pak purbaya berani
@zabriabubakar5982,Dulu pun kamu bilang yang sama buat Jokowi Sri Mulyani Nadiem 😂😂😂😂😂😂😂😂😂😂😂😂,dulu pun kamu bilang yang sama buat jokowi sri mulyani nadiem 😂😂😂😂😂😂😂😂😂😂😂😂
@yukkepoin7200,"Mumpung lagi rame 
Mereka korupsi juga takdir loh 😂","mumpung lagi rame 
mereka korupsi juga takdir loh 😂"
@Threehimovic,"ayo pak purbaya anda itu pro rakyat,bongkar esdm yg petinggi nya cekek wong cilik kayak bahlil😢","ayo pak purbaya anda itu pro rakyat,bongkar esdm yg petinggi nya cekek wong cilik kayak bahlil😢"
@KELANACHANNELC,Sri Mul harusnya turun dari dulu,sri mul harusnya turun dari dulu
@AhyarMaryadi,"Kalimantan Barat hadir. 
Dan saya tetap bersama pak Purbaya.","kalimantan barat hadir. 
dan saya tetap bersama pak purbaya."
@AhmadGanteng-y9c,mantap,mantap
@louvelouve370,Pengkhianat,pengkhianat
@anakrimba4394,Betul bang. rakyat siap mengawal pa purbaya. demi kemakmuran rakyat lanjutkan pa purbaya,betul bang. rakyat siap mengawal pa purbaya. demi kemakmuran rakyat lanjutkan pa purbaya
@aminrois8430,gas terus pak pur,gas terus pak pur
@Junaidi-q4k8d,"Semua rakyat dukung pak perbatasan,","semua rakyat dukung pak perbatasan,"
@septiamunanda3540,"​​ @hikma1-v8m rakyat Indonesia dukung tp klw pak presiden gak tegas ganti Bahlil atau evaluasi Pertamina sampe 2029 pun GK akan bangkit Pertamina..
Ganti Bahlil tu gak semudah balikan telapak tangan Krn dia skrg ketum partai juara 2, konsekuensinya program pak Prabowo bisa digoyang di parlemen kecuali ada dua pilihan 1. Pak Prabowo rangkul semua partai utk mendominasi suara di parlemen 2.Ya cara lama yg dilakukan rezim2 sebelumnya dgn cara di obok2 dibuat dualisme nanti yg dimenangkan lewat menkumham sesuai keinginan pemerintah, tp ya cara kedua itu cara jahat & gak etis klw bisa pun dibuat aturan agar cara2 ngobok partai itu tidak terus terusan terulang..","​​ @hikma1-v8m rakyat indonesia dukung tp klw pak presiden gak tegas ganti bahlil atau evaluasi pertamina sampe 2029 pun gk akan bangkit pertamina..
ganti bahlil tu gak semudah balikan telapak tangan krn dia skrg ketum partai juara 2, konsekuensinya program pak prabowo bisa digoyang di parlemen kecuali ada dua pilihan 1. pak prabowo rangkul semua partai utk mendominasi suara di parlemen 2.ya cara lama yg dilakukan rezim2 sebelumnya dgn cara di obok2 dibuat dualisme nanti yg dimenangkan lewat menkumham sesuai keinginan pemerintah, tp ya cara kedua itu cara jahat & gak etis klw bisa pun dibuat aturan agar cara2 ngobok partai itu tidak terus terusan terulang.."
@ahlamzulfadlirahmadani4111,"PESAN UNTUK YTH BAPAK PRESIDEN PRABOWO manuju bangsa dan negara Indonesia kuat dan maju dengan gerakan BEKERJA KERAS CERDAS BERINTEGRITAS yang menjujung tinggi moralitas bernegara
1.berantas koruptor koruptor sampai akar- akarnya tanpa tebang pilih dan tanpa kompromi dengan pelaku koruptor dan mafia mafia hukum karena koruptor membuat suatu negara dan bangsa rapuh dan miskin,sahkan undang undang perampasan aset dan jalankan undang undang keterbukaan informasi publik tentang anggaran penyelenggara negara beri pengawasan terhadap koruptor dari tingkat atas sampai kebawah hal ini untuk minimalisir terjadinya korupsi serta mewujudkan negara demokratis dan transparan,sudahi utang negara karena suatu negara kalau utangnya banyak akan mencekik leher rakyat.
2.berantas mafia mafia negara(mafia BUMN,mafia pajak,mafia tambang,mafia minyak ,mafia tanah,mafia sawit ,mafia laut,mafia pulau dan mafia mafia lainnya) dan berantas mafia mafia hukum berserta pejabat-pejabat yang melindungi dan membekinginya
3.berantas para elite politik,para penegak hukum dan pejabat-pejabat yang menabrak konstitusi,kebal hukum ,mempermainkan hukum, merekayasa hukum,mengutak atik hukum untuk kepentingan golongan ,berkepala dua,rangkap jabatan, kolusi, nepotisme,berbuat makar,kebijakan tidak pro rakyat hanya untuk kepentingan sekelompok,bekerja hanya untuk uang dan jabatan, hidup bergaya mewah,arogan,melanggar etika,berbuat tercela,nakal,memanipulasi,merekayasa,kepalsuan,ijazah palsu,gelar palsu,dokumen palsu,kebohongan,penipuan,mengadu domba,pemerasan,penindasan,intimidasi, diskriminasi dan kriminalisasi 
4.berantas  antek antek para mafia penjajah ekonomi sehingga rakyat di intimidasi dan dikriminalisasi dan berantas buzzer buzzer pemecah belah bangsa yang mengadu domba antara sesama rakyat serta mengadu domba antara pemerintah dengan rakyat dan berantas mafia mafia berserta pejabat pejabat yang mendanai buzzer buzzer penjilat uang rakyat 
5.berantas bandar judi online dan pejabat- pejabat yang melindunginya,karena judi online tidak sesuai dan betentangan dengan Pancasila ketuhanan yang maha esa,serta akibat judi online sangat merusak mencakup kehancuran finansial, menyebabkan masalah kesehatan mental seperti stres dan depresi, merusak hubungan sosial dan keluarga, serta dapat mendorong tindakan kriminal untuk menutupi utang,
6.berantas narkoba,premanisme dan pejabat- pejabat yang membekinginya
7.berantas rentenir dan pinjol yang membuat rakyat miskin bertambah miskin
8.tegakan hukum dengan tegak lurus tanpa direkayasa oleh uang dan mafia mafia hukum 
9.berjuanglah untuk bangsa dan negara bersama seluruh rakyat Indonesia dengan musyawarah untuk mufakat yang menjujung tinggi moral berladaskan konstitusi Pancasila dan UUD45 sebagai penyelengara negara
10.Jadikan kritikan rakyat dan unjuk rasa menjadi masukan bukan perlawanan,beri perlindungan dan keamanan dari penyusupan 
11.Baik buruknya negara karena elit politik,Penegak hukum dan pejabat bukan karena rakyat,kalau elit politik,penegak hukum dan pejabatnya baik dalam kebijakan maka negara menjadi baik kalau elit politik, penegak hukum dan pejabatnya rusak maka negara akan rusak, ada pepatah pribahasa guru kencing berdiri murid kencing berlari oleh karena itu perlu digarisbawahi NEGARA KITA MILIK SELURUH RAKYAT INDONESIA atau dikenal IBU PERTIWI bukan milik golongan dan bukan milik partai, pilihlah orang orang yang cerdas berintegritas untuk dijadikan pemimpin seperti DPR,menteri menteri,Kapolri,Hakim,Jaksa,BUMN dan institusi lainnya, karena logikanya negara maju semakin cepat pergantian para elite politik, penegak hukum dan pejabat yang tidak cerdas berintegritas dan tidak kredibel diganti dengan yang cerdas berintegritas dan kredibel maka semakin cepat mencapai kemajuan suatu bangsa dan negara ,dan jangan dibalik orang yang cerdas berintegritas disingkirkan orang yang rusak moralnya dipelihara,karena seorang pemimpin harus cerdas,benar,jujur,adil, rajin,amanah dan berani terhadap mafia mafia negara dan mafia mafia hukum untuk mewujudkan Indonesia kuat dan maju mencapai Rakyat adil makmur sentosa
12.cerdaskan kehidupan bangsa dengan cara pendidikan gratis dan merangkul anak bangsa yang cerdas dan berintegritas supaya bangsa dan negara kita mampu bersaing dengan negara negara lain dan tingkatkan ilmu pengetahuan,agama,sosial, budaya,sains dan teknologi untuk meraih kemajuan suatu bangsa dan negara yang bermartabat 
13.tingkatkan makanan bergizi yang sehat anti korupsi  untuk rakyat dengan cara makan gratis disekolahan dan menurunkan harga terjangkau  seperti sembako dan daging sapi waspadalah beri pengawasan terhadap makanan dan oknum seperti tragedi KPPS pilpres 2019 banyak memakan korban hal ini jangan sampai terjadinya keracunan
14.tingkatkan ekonomi rakyat miskin dengan  membuka lapangan kerja didesa desa dengan cara meningkatkan hasil pertanian sebagai pertahanan pangan dan membuat pabrik dididesa desa untuk mengolah barang baku menjadi barang jadi ,hal ini sudah diterapkan oleh negara negara maju  seperti  AS,Jerman,cina,jepang,Korea selatan dll  dan Indonesia akan terwujud apabila para pejabat DPR dan pemerintah bekerja keras cerdas berintegritas menjujung tinggi moralitas dengan azaz keadilan sosial bagi seluruh rakyat Indonesia demi untuk kepentingan bangsa dan negara dengan melibatkan anak bangsa yang cerdas berintegritas sesuai dengan  bidangnya masing masing 
15.tingkatkan koperasi desa anti korupsi,saya sangat setuju presiden Prabowo untuk meningkatkan koperasi sesuai printah UUD 45 karena ekonomi rakyat Indonesia baik sektor pertanian,perikanan dan perindustrian dikusai oleh para tengkulak ,sedangkan rakyat Korea selatan baik sektor pertanian,perikanan dan perindustriannya dikuasai oleh koperasi, yang saya tidak setuju pelaksanaan yang tidak efektif dan dana koperasi yang ujung ujungnya dikorupsi itulah yang membuat koperasi tidak berjalan,hal ini bagaimana caranya supaya pelaksanaannya efektif untuk minimalisir terjadinya korupsi,karena KORUPSI ADALAH MUSUH NEGARA dan NKRI HARGA MATI JANGAN KORUPSI
16.tegakan para pejabat, elit politik dan penegak hukum untuk menjalankan kemanusiaan yang adil dan beradab baik perkataan,perbuatan dalam kebijaksanaan untuk mencapai keadilan sosial bagi seluruh rakyat Indonesia serta mewujudkan persatuan Indonesia,oleh karena itu untuk para pejabat, elit politik dan penegak hukum yang tidak adil dan tidak beradab tidak perlu disopan satunkan dan tidak boleh disatukan dalam pemerintahan pusat maupun daerah baik dilembaga eksekutif, legislatif dan yudikatif karena tidak sesuai dengan etika,akal sehat, dan hati nurani rakyat 
17.Jangan memecah belah dan mengadu domba rakyat apalagi dengan menggunakan SARA,ini akan membahayakan NKRI Satukan bangsa kita dengan BHINEKA TUNGGA IKA
♥️ MERDEKA RAKYAT INDONESIA DALAM BUKU  HASIL KARYA PRESIDEN PRABOWO  PARADOKS INDONESIA KEDAULATAN ADA DITANGAN RAKYAT EKONOMI HARUS DINIKMATI OLEH RAKYAT, BRAVO PRESIDEN PRABOWO PAHLAWAN PATRIOT BANGSA YANG MENGIKUTI JEJAK PAHLAWAN JENDRAL SUDIRMAN, RAKYAT BERSAMAMU  DARI BERBAGAI KALANGAN KECUALI KORUPTOR, PARA MAFIA DAN PENJAJAH EKONOMI BERSERTA ANTEK ANTEKNYA, LOGIKA HUKUM POSITIF DARI AKAL SEHAT BUKAN DISKRIMINASI, INTIMIDASI DAN KRIMINALISASI TERHADAP RAKYAT ,HAL INI HUKUM KUNO/JADUL YANG DITERAPKAN OLEH PENJAJAHAN YANG MEMBUAT RAKYAT TIDAK BISA MAJU TERTINDAS DAN BERONTAK KARENA TIDAK SESUAI DENGAN PRIKEMANUSIAN DAN PRIKEADILAN ,HARAP PRESIDEN PRABOWO MENGHILANGKAN DISKRIMINASI,INTIMIDASI DAN KRIMINALISASI DENGAN KESETARAAN ANTARA RAKYAT DAN PEMERINTAH DIHADAPAN HUKUM POSITIF DARI AKAL SEHAT KARENA AKIBAT  DISKRIMINASI,INTIMIDASI DAN KRIMINALISASI SULIT BANGSA DAN NEGARA MENJADI MAJU PAKTANYA DISKRIMINASI, INTIMIDASI DAN KRIMINALISASI TIDAK BERLAKU DI NEGARA MAJU♥️","pesan untuk yth bapak presiden prabowo manuju bangsa dan negara indonesia kuat dan maju dengan gerakan bekerja keras cerdas berintegritas yang menjujung tinggi moralitas bernegara
1.berantas koruptor koruptor sampai akar- akarnya tanpa tebang pilih dan tanpa kompromi dengan pelaku koruptor dan mafia mafia hukum karena koruptor membuat suatu negara dan bangsa rapuh dan miskin,sahkan undang undang perampasan aset dan jalankan undang undang keterbukaan informasi publik tentang anggaran penyelenggara negara beri pengawasan terhadap koruptor dari tingkat atas sampai kebawah hal ini untuk minimalisir terjadinya korupsi serta mewujudkan negara demokratis dan transparan,sudahi utang negara karena suatu negara kalau utangnya banyak akan mencekik leher rakyat.
2.berantas mafia mafia negara(mafia bumn,mafia pajak,mafia tambang,mafia minyak ,mafia tanah,mafia sawit ,mafia laut,mafia pulau dan mafia mafia lainnya) dan berantas mafia mafia hukum berserta pejabat-pejabat yang melindungi dan membekinginya
3.berantas para elite politik,para penegak hukum dan pejabat-pejabat yang menabrak konstitusi,kebal hukum ,mempermainkan hukum, merekayasa hukum,mengutak atik hukum untuk kepentingan golongan ,berkepala dua,rangkap jabatan, kolusi, nepotisme,berbuat makar,kebijakan tidak pro rakyat hanya untuk kepentingan sekelompok,bekerja hanya untuk uang dan jabatan, hidup bergaya mewah,arogan,melanggar etika,berbuat tercela,nakal,memanipulasi,merekayasa,kepalsuan,ijazah palsu,gelar palsu,dokumen palsu,kebohongan,penipuan,mengadu domba,pemerasan,penindasan,intimidasi, diskriminasi dan kriminalisasi 
4.berantas  antek antek para mafia penjajah ekonomi sehingga rakyat di intimidasi dan dikriminalisasi dan berantas buzzer buzzer pemecah belah bangsa yang mengadu domba antara sesama rakyat serta mengadu domba antara pemerintah dengan rakyat dan berantas mafia mafia berserta pejabat pejabat yang mendanai buzzer buzzer penjilat uang rakyat 
5.berantas bandar judi online dan pejabat- pejabat yang melindunginya,karena judi online tidak sesuai dan betentangan dengan pancasila ketuhanan yang maha esa,serta akibat judi online sangat merusak mencakup kehancuran finansial, menyebabkan masalah kesehatan mental seperti stres dan depresi, merusak hubungan sosial dan keluarga, serta dapat mendorong tindakan kriminal untuk menutupi utang,
6.berantas narkoba,premanisme dan pejabat- pejabat yang membekinginya
7.berantas rentenir dan pinjol yang membuat rakyat miskin bertambah miskin
8.tegakan hukum dengan tegak lurus tanpa direkayasa oleh uang dan mafia mafia hukum 
9.berjuanglah untuk bangsa dan negara bersama seluruh rakyat indonesia dengan musyawarah untuk mufakat yang menjujung tinggi moral berladaskan konstitusi pancasila dan uud45 sebagai penyelengara negara
10.jadikan kritikan rakyat dan unjuk rasa menjadi masukan bukan perlawanan,beri perlindungan dan keamanan dari penyusupan 
11.baik buruknya negara karena elit politik,penegak hukum dan pejabat bukan karena rakyat,kalau elit politik,penegak hukum dan pejabatnya baik dalam kebijakan maka negara menjadi baik kalau elit politik, penegak hukum dan pejabatnya rusak maka negara akan rusak, ada pepatah pribahasa guru kencing berdiri murid kencing berlari oleh karena itu perlu digarisbawahi negara kita milik seluruh rakyat indonesia atau dikenal ibu pertiwi bukan milik golongan dan bukan milik partai, pilihlah orang orang yang cerdas berintegritas untuk dijadikan pemimpin seperti dpr,menteri menteri,kapolri,hakim,jaksa,bumn dan institusi lainnya, karena logikanya negara maju semakin cepat pergantian para elite politik, penegak hukum dan pejabat yang tidak cerdas berintegritas dan tidak kredibel diganti dengan yang cerdas berintegritas dan kredibel maka semakin cepat mencapai kemajuan suatu bangsa dan negara ,dan jangan dibalik orang yang cerdas berintegritas disingkirkan orang yang rusak moralnya dipelihara,karena seorang pemimpin harus cerdas,benar,jujur,adil, rajin,amanah dan berani terhadap mafia mafia negara dan mafia mafia hukum untuk mewujudkan indonesia kuat dan maju mencapai rakyat adil makmur sentosa
12.cerdaskan kehidupan bangsa dengan cara pendidikan gratis dan merangkul anak bangsa yang cerdas dan berintegritas supaya bangsa dan negara kita mampu bersaing dengan negara negara lain dan tingkatkan ilmu pengetahuan,agama,sosial, budaya,sains dan teknologi untuk meraih kemajuan suatu bangsa dan negara yang bermartabat 
13.tingkatkan makanan bergizi yang sehat anti korupsi  untuk rakyat dengan cara makan gratis disekolahan dan menurunkan harga terjangkau  seperti sembako dan daging sapi waspadalah beri pengawasan terhadap makanan dan oknum seperti tragedi kpps pilpres 2019 banyak memakan korban hal ini jangan sampai terjadinya keracunan
14.tingkatkan ekonomi rakyat miskin dengan  membuka lapangan kerja didesa desa dengan cara meningkatkan hasil pertanian sebagai pertahanan pangan dan membuat pabrik dididesa desa untuk mengolah barang baku menjadi barang jadi ,hal ini sudah diterapkan oleh negara negara maju  seperti  as,jerman,cina,jepang,korea selatan dll  dan indonesia akan terwujud apabila para pejabat dpr dan pemerintah bekerja keras cerdas berintegritas menjujung tinggi moralitas dengan azaz keadilan sosial bagi seluruh rakyat indonesia demi untuk kepentingan bangsa dan negara dengan melibatkan anak bangsa yang cerdas berintegritas sesuai dengan  bidangnya masing masing 
15.tingkatkan koperasi desa anti korupsi,saya sangat setuju presiden prabowo untuk meningkatkan koperasi sesuai printah uud 45 karena ekonomi rakyat indonesia baik sektor pertanian,perikanan dan perindustrian dikusai oleh para tengkulak ,sedangkan rakyat korea selatan baik sektor pertanian,perikanan dan perindustriannya dikuasai oleh koperasi, yang saya tidak setuju pelaksanaan yang tidak efektif dan dana koperasi yang ujung ujungnya dikorupsi itulah yang membuat koperasi tidak berjalan,hal ini bagaimana caranya supaya pelaksanaannya efektif untuk minimalisir terjadinya korupsi,karena korupsi adalah musuh negara dan nkri harga mati jangan korupsi
16.tegakan para pejabat, elit politik dan penegak hukum untuk menjalankan kemanusiaan yang adil dan beradab baik perkataan,perbuatan dalam kebijaksanaan untuk mencapai keadilan sosial bagi seluruh rakyat indonesia serta mewujudkan persatuan indonesia,oleh karena itu untuk para pejabat, elit politik dan penegak hukum yang tidak adil dan tidak beradab tidak perlu disopan satunkan dan tidak boleh disatukan dalam pemerintahan pusat maupun daerah baik dilembaga eksekutif, legislatif dan yudikatif karena tidak sesuai dengan etika,akal sehat, dan hati nurani rakyat 
17.jangan memecah belah dan mengadu domba rakyat apalagi dengan menggunakan sara,ini akan membahayakan nkri satukan bangsa kita dengan bhineka tungga ika
♥️ merdeka rakyat indonesia dalam buku  hasil karya presiden prabowo  paradoks indonesia kedaulatan ada ditangan rakyat ekonomi harus dinikmati oleh rakyat, bravo presiden prabowo pahlawan patriot bangsa yang mengikuti jejak pahlawan jendral sudirman, rakyat bersamamu  dari berbagai kalangan kecuali koruptor, para mafia dan penjajah ekonomi berserta antek anteknya, logika hukum positif dari akal sehat bukan diskriminasi, intimidasi dan kriminalisasi terhadap rakyat ,hal ini hukum kuno/jadul yang diterapkan oleh penjajahan yang membuat rakyat tidak bisa maju tertindas dan berontak karena tidak sesuai dengan prikemanusian dan prikeadilan ,harap presiden prabowo menghilangkan diskriminasi,intimidasi dan kriminalisasi dengan kesetaraan antara rakyat dan pemerintah dihadapan hukum positif dari akal sehat karena akibat  diskriminasi,intimidasi dan kriminalisasi sulit bangsa dan negara menjadi maju paktanya diskriminasi, intimidasi dan kriminalisasi tidak berlaku di negara maju♥️"
@orgRock,"Ak kasihan nanti dia bakal di bikin citranya jelek seperti pa jokowi, 😢😢","ak kasihan nanti dia bakal di bikin citranya jelek seperti pa jokowi, 😢😢"
@septiamunanda3540,"​@orgRockberulang kali berbohong itu citra baik atau jelek? Jgn sama kan dgn pak Purbaya Selagi pak Purbaya tidak berbohong dgn sendirinya citranya baik tanpa perlu buzzeRp, gitu juga sebaliknya jika berbohong merugikan rakyat dgn sendirinya citranya buruk wlw pun dipoles2 dgn buzzeRp terbanyak sekali pun, Krn jejak digital gak akan terhapus..","​@orgrockberulang kali berbohong itu citra baik atau jelek? jgn sama kan dgn pak purbaya selagi pak purbaya tidak berbohong dgn sendirinya citranya baik tanpa perlu buzzerp, gitu juga sebaliknya jika berbohong merugikan rakyat dgn sendirinya citranya buruk wlw pun dipoles2 dgn buzzerp terbanyak sekali pun, krn jejak digital gak akan terhapus.."
@HeruHeru-v4o,INILAH PEJABAT MANA YG DUKUNG MEMPERKAYA NEGARA LAIN DAN KORUPTOR.,inilah pejabat mana yg dukung memperkaya negara lain dan koruptor.
@cenel2an,SAATNYA KEDAULATAN RAKYAT MERATAKAN RUMAH BAHLIL MANUSIA RAKUS GAK KOMPeETEN MENJALANKAN AMANAH NEGARA 🔥🔥🔥🔥🔥💀💀☠️,saatnya kedaulatan rakyat meratakan rumah bahlil manusia rakus gak kompeeten menjalankan amanah negara 🔥🔥🔥🔥🔥💀💀☠️
@orgRock,"​ @septiamunanda3540 nah ini org yg suka kemakan isu media, banyak aj cara nya tuk buat bikin citra gk baik, krna dh habis lubang2 keuntungan nya mafia politikus di sikat sama pa jokowi, Skrng di era prabowo kasihan ntr sama pa purbaya ini, kadang bner di jalur sndirian tu, sakit loh, banyak yg nbrakin,  berkedok suara rakyat,  tapi mafia ...","​ @septiamunanda3540 nah ini org yg suka kemakan isu media, banyak aj cara nya tuk buat bikin citra gk baik, krna dh habis lubang2 keuntungan nya mafia politikus di sikat sama pa jokowi, skrng di era prabowo kasihan ntr sama pa purbaya ini, kadang bner di jalur sndirian tu, sakit loh, banyak yg nbrakin,  berkedok suara rakyat,  tapi mafia ..."
@BambangSetyowadi,"Sy percaya banget dg bp Purbaya,, bukan orang yg itu,,, pertamina hrs menjelaskan pd bp Purbaya.","sy percaya banget dg bp purbaya,, bukan orang yg itu,,, pertamina hrs menjelaskan pd bp purbaya."
@awangyulianto,masak di sepadankan team bahlul 😂,masak di sepadankan team bahlul 😂
@naivarobin9540,"dari kasus ini mengapa dukung purbaya, aku sekedar bertanya","dari kasus ini mengapa dukung purbaya, aku sekedar bertanya"
@roromera7685,"Menteri Keuangan bguz itu Kilang dibikin jd G import minyak , biasanya Negara Klo slalu Import takutnya keadaan Genting misalnya minyak udh mnipis klo yg Negara Eksport Minyak Ny g mau Jual gymna , klo bikin sndiri Kilang kan enak persediaan Minyak klo misalnya Keadaan Genting, Perang atau gymna jd udh ada Persediaan, Mf ne PeramaL Gumay kata bilang nnti Indonesia bakal Perang sama Australia biasa ny ramalan Gumay bner😮","menteri keuangan bguz itu kilang dibikin jd g import minyak , biasanya negara klo slalu import takutnya keadaan genting misalnya minyak udh mnipis klo yg negara eksport minyak ny g mau jual gymna , klo bikin sndiri kilang kan enak persediaan minyak klo misalnya keadaan genting, perang atau gymna jd udh ada persediaan, mf ne peramal gumay kata bilang nnti indonesia bakal perang sama australia biasa ny ramalan gumay bner😮"
@Ediwaelah-r6e,Percuma... kuncinya di presiden kalo presiden nya melempem.... wasalam,percuma... kuncinya di presiden kalo presiden nya melempem.... wasalam
@inisialW00,​ @Ediwaelah-r6e iya kalo presiden nya abah atau genjer ya pasti mlempem dari kemaren ga ada kasus terbongkar wkwk,​ @ediwaelah-r6e iya kalo presiden nya abah atau genjer ya pasti mlempem dari kemaren ga ada kasus terbongkar wkwk
@haysnairte4," @inisialW00  percuma berandai andai, yg udah jalan dua periode aja jelas fakta"," @inisialw00  percuma berandai andai, yg udah jalan dua periode aja jelas fakta"
@prakasarevo5435,"Bahaya malah purbaya, baru naik langsung mo by one ma kesayangan geng","bahaya malah purbaya, baru naik langsung mo by one ma kesayangan geng"
@Serang775,​ @roromera7685 jirrrrrrr percaya ma DUKUN😂😂,​ @roromera7685 jirrrrrrr percaya ma dukun😂😂
@sasongko5769,HIDOP PURAYAaa,hidop purayaaa
@roromera7685,​ @Serang775  Bro kata PeramaL Gumay THN 2037 klo g salah Indonesia perang sama Australia,​ @serang775  bro kata peramal gumay thn 2037 klo g salah indonesia perang sama australia
