author,comment,clean_comment,normalized_comment
@FAISALSEPTIAN-fy4pf," @cmorimoybalb  anjir goblin,gak smegol aja bang",anjir goblin gak smegol aja bang,anjir goblin gak smegol saja bang
@dedyrushadmaka5137,Mereka hanya ingin mudah saja.,mereka hanya ingin mudah saja,mereka hanya ingin mudah saja
@rico8573,"Ya akan tetap impor, lha wong produksi minyak hny 600.000 barrel/hari",ya akan tetap impor lha wong produksi minyak hny 600 000 barrel hari,ya akan tetap impor lha wong produksi minyak hny 600 000 barrel hari
@steviepramudita9239,"over capacity itu bukan over supply, mohon dibedakan 😂",over capacity itu bukan over supply mohon dibedakan,over capacity itu bukan over supply mohon dibedakan
@imangfirman,Bener juga wkwk,bener juga wkwk,bener juga haha
@de.mozza0599,Sama2 acting 2.2nya,sama2 acting 2 2nya,sama2 acting 2 2nya
@louvelouve370,Pengkhianat,pengkhianat,pengkhianat
@AhmadRohman-p2i,Diawal liat tumbnail udah ngomong dalem ati gini juga,diawal liat tumbnail udah ngomong dalem ati gini juga,diawal liat tumbnail sudah ngomong dalem ati gini juga
@ngeyelancook,"𝙼𝚊𝚗𝚝𝚊𝚙 𝚋𝚊𝚗𝚐 𝙋𝙐𝙍𝘽𝘼𝙔𝘼❤❤❤❤, 𝚔𝚎𝚓𝚊𝚛 𝚝𝚎𝚛𝚞𝚜 𝚢𝚊𝚗𝚐 𝘽𝙀𝙍𝙈𝘼𝙎𝘼𝙇𝘼𝙃 𝚜𝚊𝚖𝚙𝚊𝚒 𝚜𝚎𝚕𝚎𝚜𝚊𝚒 𝚙𝚊",,
@Asfirkun,Dan kami lebih percaya pak purba dari pada pak bahlil 😅,dan kami lebih percaya pak purba dari pada pak bahlil,dan kami lebih percaya pak purba dari pada pak bahlil
@KicauManiaAR,"inilah tujuanya negeri ini merdeka... yg katanya pahlawan2 ,,,, inilaah tujuanyaa sebenarnyaaa...😂",inilah tujuanya negeri ini merdeka yg katanya pahlawan2 inilaah tujuanyaa sebenarnyaaa,inilah tujuanya negeri ini merdeka yang katanya pahlawan2 inilaah tujuanyaa sebenarnyaaa
@SaifulBahri-n3m,"Pegawai bumn gk ada yg becus kerja,harusnya di pecat mereka.perusahaan rugi pegawai hidup nya mewah apa lagi dirut,gk bisa kerja rugi mulu",pegawai bumn gk ada yg becus kerja harusnya di pecat mereka perusahaan rugi pegawai hidup nya mewah apa lagi dirut gk bisa kerja rugi mulu,pegawai bumn tidak ada yang becus kerja harusnya di pecat mereka perusahaan rugi pegawai hidup nya mewah apa lagi dirut tidak bisa kerja rugi mulu
@Duniaanak-007,Dia kira semua rakyat bisa di bohongi,dia kira semua rakyat bisa di bohongi,dia kira semua rakyat bisa di bohongi
@usmanshaggy72,​ @mikeconroe3328 Pak Purbaya belum terbukti baru menjabat bisa bgus bisa jg tidak tp klo yg satu sudah terbukti apa ???? 😅,pak purbaya belum terbukti baru menjabat bisa bgus bisa jg tidak tp klo yg satu sudah terbukti apa,pak purbaya belum terbukti baru menjabat bisa bgus bisa jg tidak tapi klo yang satu sudah terbukti apa
@petealfaruq2702,"Mentri kita si mungil dr timur itu emang lucu2nya, dan yang LBH mgherankan kok bisa JD mntri?... Punya wibawa aj enggak, 300jt jiwa. Msh bnyak org pintar",mentri kita si mungil dr timur itu emang lucu2nya dan yang lbh mgherankan kok bisa jd mntri punya wibawa aj enggak 300jt jiwa msh bnyak org pintar,mentri kita si mungil dari timur itu emang lucu2nya dan yang lbh mgherankan kok bisa jadi mntri punya wibawa saja enggak 300jt jiwa msh bnyak org pintar
@abdusshomad6630,PERTAMINA MALING,pertamina maling,pertamina maling
@abdusshomad6630,Wajah tuyul mafia pertamina,wajah tuyul mafia pertamina,wajah tuyul mafia pertamina
@tuanil6551,"Jangan mau dibodohi sama goblin ini, yg dimaksud over capasity adalah apabila suatu benda melebihi batas maksimal yang seharusnya.
.
Berarti kan minyak kita banyak bahkan tumpah2 kalo over capasity, tapi kenyataannya kita itu selalu impor dari luar seakan kurang terus kebutuhan dalam negeri. Kan aneh?
.
Kemudian kalo emang over capasity kilang, ya bikin kilang baru supaya gak over, kelihatan banget malesnya. Gimana rakyat mau dapat lapangan pekerjaan kalo gamau bikin kilang tapi maunya impor terus?",jangan mau dibodohi sama goblin ini yg dimaksud over capasity adalah apabila suatu benda melebihi batas maksimal yang seharusnya berarti kan minyak kita banyak bahkan tumpah2 kalo over capasity tapi kenyataannya kita itu selalu impor dari luar seakan kurang terus kebutuhan dalam negeri kan aneh kemudian kalo emang over capasity kilang ya bikin kilang baru supaya gak over kelihatan banget malesnya gimana rakyat mau dapat lapangan pekerjaan kalo gamau bikin kilang tapi maunya impor terus,jangan mau dibodohi sama goblin ini yang dimaksud over capasity adalah apabila suatu benda melebihi batas maksimal yang seharusnya berarti kan minyak kita banyak bahkan tumpah2 kalo over capasity tapi kenyataannya kita itu selalu impor dari luar seakan kurang terus kebutuhan dalam negeri kan aneh kemudian kalo emang over capasity kilang ya bikin kilang baru supaya gak over kelihatan banget malesnya gimana rakyat mau dapat lapangan pekerjaan kalo gamau bikin kilang tapi maunya impor terus
@ardastories2925,emang dia orang over pintarnya sampe ga bs di logika😂,emang dia orang over pintarnya sampe ga bs di logika,emang dia orang over pintarnya sampe tidak bs di logika
@AlexSihite-i5f,​ @ahmadnasir7286 betul pak.solar dilampung barat 12rb eceran,betul pak solar dilampung barat 12rb eceran,betul pak solar dilampung barat 12rb eceran
@isninlubis7034,Orang paling bodoh pun harusnya punya logika seperti ini ya,orang paling bodoh pun harusnya punya logika seperti ini ya,orang paling bodoh pun harusnya punya logika seperti ini ya
@nursudi989,"sebenarnya bikin kilang juga rugi,impor juga rugi,eranya sdh berubah,cina morning menyebut 60℅ spbu di Tiongkok tutup,menurutku yg tepat pecat bahlil 😊😊😊😊😊",sebenarnya bikin kilang juga rugi impor juga rugi eranya sdh berubah cina morning menyebut 60 spbu di tiongkok tutup menurutku yg tepat pecat bahlil,sebenarnya bikin kilang juga rugi impor juga rugi eranya sudah berubah cina morning menyebut 60 spbu di tiongkok tutup menurutku yang tepat pecat bahlil
@sekedarhiburan730,"Lahh bener, knp si Bahlil Mash impor? Jangan bodohin rakyat lahh, kami udah kenyang d kibulin, gak mau lagi tertipu omongan gak masuk akal😂",lahh bener knp si bahlil mash impor jangan bodohin rakyat lahh kami udah kenyang d kibulin gak mau lagi tertipu omongan gak masuk akal,lahh bener kenapa si bahlil mash impor jangan bodohin rakyat lahh kami sudah kenyang d kibulin gak mau lagi tertipu omongan gak masuk akal
@normansimorangkir13,"Over capacity maksudnya kilang yg ada sudah produski diatas kapasitasnya, tetapi masih dibawah/lebih kecil dari kebutuhan/konsumsi dalam negeri.

Tetapi SALAH BESARNYA adalah sudah begitu tdk mau juga aktifkan kilang yg nganggur atau membangun kilang baru.
Memang PARAAAAAHHHH!!!!😢😢😢😢",over capacity maksudnya kilang yg ada sudah produski diatas kapasitasnya tetapi masih dibawah lebih kecil dari kebutuhan konsumsi dalam negeri tetapi salah besarnya adalah sudah begitu tdk mau juga aktifkan kilang yg nganggur atau membangun kilang baru memang paraaaaahhhh,over capacity maksudnya kilang yang ada sudah produski diatas kapasitasnya tetapi masih dibawah lebih kecil dari kebutuhan konsumsi dalam negeri tetapi salah besarnya adalah sudah begitu tdk mau juga aktifkan kilang yang nganggur atau membangun kilang baru memang paraaaaahhhh
@yuzarsif4457,Kalw gak impor .GK ada uang masukkk ke kantong..pribadi,kalw gak impor gk ada uang masukkk ke kantong pribadi,kalw gak impor tidak ada uang masukkk ke kantong pribadi
@RojoRatu,😊 tambang BBM SERAHIN ke MALAYSIA SAJA .. NEGARA UNTUNG .. RAKYAT UNTUNG  BBM MURAH .. NO OPLOS,tambang bbm serahin ke malaysia saja negara untung rakyat untung bbm murah no oplos,tambang bbm serahin ke malaysia saja negara untung rakyat untung bbm murah no oplos
@EncepSuherlan-d6t,Muka nya serem,muka nya serem,muka nya serem
@x-chess,​ @roromera7685 rakyatnya juga sailing menghambat.. Jalan Raya juga Ada pemiliknya.. 😂,rakyatnya juga sailing menghambat jalan raya juga ada pemiliknya,rakyatnya juga sailing menghambat jalan raya juga ada pemiliknya
@abubakr535,​ @Masaddurenkepel mentri itu selali kontrak politik,mentri itu selali kontrak politik,mentri itu selali kontrak politik
@nuraidaaida-g6z,Singapura negara kecil aj bisa  bangun kilang,singapura negara kecil aj bisa bangun kilang,singapura negara kecil saja bisa bangun kilang
@sisipanbalaraja1798,Mentri merangkap mafia😂,mentri merangkap mafia,mentri merangkap mafia
@KhairapremierA1KhairapremierA1,Impor karena over capacity ? Kenapa ndak bangun kilang baru utk hindari impor kata pak purbaya. Pertanyaan yang masuk akal sekali,impor karena over capacity kenapa ndak bangun kilang baru utk hindari impor kata pak purbaya pertanyaan yang masuk akal sekali,impor karena over capacity kenapa ndak bangun kilang baru untuk hindari impor kata pak purbaya pertanyaan yang masuk akal sekali
@mariatheresiadjiati3600,Meski buat kilang baru utk menutupi kebutuhan.bbm tapi harus diingat import crude oil/minyak mentah harus tetap import bung krn produksi minyak mentah hanya 500ribu barel/hari,meski buat kilang baru utk menutupi kebutuhan bbm tapi harus diingat import crude oil minyak mentah harus tetap import bung krn produksi minyak mentah hanya 500ribu barel hari,meski buat kilang baru untuk menutupi kebutuhan bbm tapi harus diingat import crude oil minyak mentah harus tetap import bung karena produksi minyak mentah hanya 500ribu barel hari
@hikma1-v8m,Rakyat Indonesia siap perang membela jaga keselamatan pak Purbaya.,rakyat indonesia siap perang membela jaga keselamatan pak purbaya,rakyat indonesia siap perang membela jaga keselamatan pak purbaya
@SandjayaWamsa,Kelahiran Bogor di tanah PASUNDAN. pasti buat orang kepanasan dan pada panik. Maju Mentri Purbaya,kelahiran bogor di tanah pasundan pasti buat orang kepanasan dan pada panik maju mentri purbaya,kelahiran bogor di tanah pasundan pasti buat orang kepanasan dan pada panik maju mentri purbaya
@DennydenzPermana,Syaa Warga Banten siap turun gunung membela pak Purbaya.,syaa warga banten siap turun gunung membela pak purbaya,syaa warga banten siap turun gunung membela pak purbaya
@haysnairte4,Keren pak Purbaya berani,keren pak purbaya berani,keren pak purbaya berani
@zabriabubakar5982,Dulu pun kamu bilang yang sama buat Jokowi Sri Mulyani Nadiem 😂😂😂😂😂😂😂😂😂😂😂😂,dulu pun kamu bilang yang sama buat jokowi sri mulyani nadiem,dulu pun kamu bilang yang sama buat jokowi sri mulyani nadiem
@yukkepoin7200,"Mumpung lagi rame 
Mereka korupsi juga takdir loh 😂",mumpung lagi rame mereka korupsi juga takdir loh,mumpung lagi rame mereka korupsi juga takdir loh
@Threehimovic,"ayo pak purbaya anda itu pro rakyat,bongkar esdm yg petinggi nya cekek wong cilik kayak bahlil😢",ayo pak purbaya anda itu pro rakyat bongkar esdm yg petinggi nya cekek wong cilik kayak bahlil,ayo pak purbaya anda itu pro rakyat bongkar esdm yang petinggi nya cekek wong cilik kayak bahlil
@KELANACHANNELC,Sri Mul harusnya turun dari dulu,sri mul harusnya turun dari dulu,sri mul harusnya turun dari dulu
@AhyarMaryadi,"Kalimantan Barat hadir. 
Dan saya tetap bersama pak Purbaya.",kalimantan barat hadir dan saya tetap bersama pak purbaya,kalimantan barat hadir dan saya tetap bersama pak purbaya
@AhmadGanteng-y9c,mantap,mantap,mantap
@louvelouve370,Pengkhianat,pengkhianat,pengkhianat
@anakrimba4394,Betul bang. rakyat siap mengawal pa purbaya. demi kemakmuran rakyat lanjutkan pa purbaya,betul bang rakyat siap mengawal pa purbaya demi kemakmuran rakyat lanjutkan pa purbaya,betul bang rakyat siap mengawal pa purbaya demi kemakmuran rakyat lanjutkan pa purbaya
@aminrois8430,gas terus pak pur,gas terus pak pur,gas terus pak pur
@sunaryoh5942,Betul bro,betul bro,betul bro
@AvrahamBenYitzhak-s4v,seganlah bro sama singapura haha,seganlah bro sama singapura haha,seganlah bro sama singapura tertawa
@pesmobile-lh5fs,Penghianat bangsa harus dihukum,penghianat bangsa harus dihukum,penghianat bangsa harus dihukum
@demons_k,Mantap bg,mantap bg,mantap bg
@AyubSong123,Orang mau bangun kilang baru gimana wong tidak murah uangnya di korup makanya gx cukup mending import tapi jual mahal😂😂😂,orang mau bangun kilang baru gimana wong tidak murah uangnya di korup makanya gx cukup mending import tapi jual mahal,orang mau bangun kilang baru gimana wong tidak murah uangnya di korup makanya gx cukup mending import tapi jual mahal
@Aaaa1-71,pertamina nih sudah terkenal dengan mafia dan korupnya,pertamina nih sudah terkenal dengan mafia dan korupnya,pertamina ini sudah terkenal dengan mafia dan korupnya
@nazrielkautsar9250,Harus ada yg berani Bersih2 BUMN yg satu ini..,harus ada yg berani bersih2 bumn yg satu ini,harus ada yang berani bersih2 bumn yang satu ini
@akihikochannel108,"​ @AvrahamBenYitzhak-s4v negara gede, kok takut sama upil 😂",s4v negara gede kok takut sama upil,s4v negara gede kok takut sama upil
@bpkrafinisabwi8957,Anda suka benar...❤,anda suka benar,anda suka benar
@ekoprematur258,"mereka impor pejabatnya dapat fee.
begitu liciknya singapura.
negara sekecil itu bisa kaya karena indonesia.
maklum indonesia penyumbang terbesar turis bagi singapura, sebagian besar kapal indonesia transit di singapura, barang2 mentah indonesia seperti CPO, karet, migas dsb diekspor ke singapura kemudian diolah di singapura, singapura juga negara penyimpan aset2 orang2 kaya di indonesia, singapura jadi negara asing investor terbesar proyek2 di indonesia selain china, singapura jagi tempat transit utama penerbangan indonesia.
kok bisa negara sebesar ini dipecundangi sama singapura.",mereka impor pejabatnya dapat fee begitu liciknya singapura negara sekecil itu bisa kaya karena indonesia maklum indonesia penyumbang terbesar turis bagi singapura sebagian besar kapal indonesia transit di singapura barang2 mentah indonesia seperti cpo karet migas dsb diekspor ke singapura kemudian diolah di singapura singapura juga negara penyimpan aset2 orang2 kaya di indonesia singapura jadi negara asing investor terbesar proyek2 di indonesia selain china singapura jagi tempat transit utama penerbangan indonesia kok bisa negara sebesar ini dipecundangi sama singapura,mereka impor pejabatnya dapat fee begitu liciknya singapura negara sekecil itu bisa kaya karena indonesia maklum indonesia penyumbang terbesar turis bagi singapura sebagian besar kapal indonesia transit di singapura barang2 mentah indonesia seperti cpo karet migas dsb diekspor ke singapura kemudian diolah di singapura singapura juga negara penyimpan aset2 orang2 kaya di indonesia singapura jadi negara asing investor terbesar proyek2 di indonesia selain china singapura jagi tempat transit utama penerbangan indonesia kok bisa negara sebesar ini dipecundangi sama singapura
@Kang_adeErha,Benrrrr mafia import,benrrrr mafia import,benrrrr mafia import
@yangpasti7319,Betul sekali,betul sekali,betul sekali
@erinnberlina4712,Dipecat saja pekerja rakyat yang selama ini bekerja merugikan rakyat masih banyak orang orang pintar yang akan bekerja,dipecat saja pekerja rakyat yang selama ini bekerja merugikan rakyat masih banyak orang orang pintar yang akan bekerja,dipecat saja pekerja rakyat yang selama ini bekerja merugikan rakyat masih banyak orang orang pintar yang akan bekerja
@erinnberlina4712,​ @pesmobile-lh5fs hukum rakyat lebih adil seadil-adilnya,lh5fs hukum rakyat lebih adil seadil adilnya,lh5fs hukum rakyat lebih adil seadil adilnya
@CepiCepi-q1b,Mafia kaya raya di singapore..mrk calo broker..,mafia kaya raya di singapore mrk calo broker,mafia kaya raya di singapore mrk calo broker
@EnyFarida-s3u,"Betul..
Ngk bisa nyolong...",betul ngk bisa nyolong,betul ngk bisa nyolong
@sanyvideo9285,pecat Purbaya,pecat purbaya,pecat purbaya
@pencarikeadilan4287,Ayook kita serbu lagi rumah mafia minyak🎉🎉,ayook kita serbu lagi rumah mafia minyak,ayook kita serbu lagi rumah mafia minyak
@yogi.wisnuadi,Tiap tahun ada aja kilang yang diledakin sama mafia ini,tiap tahun ada aja kilang yang diledakin sama mafia ini,tiap tahun ada saja kilang yang diledakin sama mafia ini
@fchristono,cocok,cocok,cocok
@akrSaefullah,Gampang kok siapa yang calo impor yang sedang buron sekarang..cuan bagi-bagi  kepejanat,gampang kok siapa yang calo impor yang sedang buron sekarang cuan bagi bagi kepejanat,gampang kok siapa yang calo impor yang sedang buron sekarang cuan bagi bagi kepejanat
@dikaabriyan3026,Nanti v impornya hilang bro😂,nanti v impornya hilang bro,nanti v impornya hilang bro
@abdusshomad6630,"Banyak malingnya.
Terutama yang hobi menyakiti rakyat",banyak malingnya terutama yang hobi menyakiti rakyat,banyak malingnya terutama yang hobi menyakiti rakyat
@nursudi989,"di negara lain suddh mulai tutup spbu , di cina 60℅ spbu sdh tutp,eranya sdh berubah ,menurutku bangun kilang juga rugi,import juga rugi 😊😊😊😊😊",di negara lain suddh mulai tutup spbu di cina 60 spbu sdh tutp eranya sdh berubah menurutku bangun kilang juga rugi import juga rugi,di negara lain suddh mulai tutup spbu di cina 60 spbu sudah tutp eranya sudah berubah menurutku bangun kilang juga rugi import juga rugi
@picanical1701,"mereka tidak rugi apapun, tapi mereka tidak bisa ambil untung",mereka tidak rugi apapun tapi mereka tidak bisa ambil untung,mereka tidak rugi apapun tapi mereka tidak bisa ambil untung
@DwiErAzhuCreator,​ @AvrahamBenYitzhak-s4v ngak heran Singapura maju pembangunannya ternyata yang buat bangun uang dari Indonesia 🤫,s4v ngak heran singapura maju pembangunannya ternyata yang buat bangun uang dari indonesia,s4v ngak heran singapura maju pembangunannya ternyata yang buat bangun uang dari indonesia
@Ramarama-yw4sj,Bener bro kl impor kan bisa korup wkwkekkkk,bener bro kl impor kan bisa korup wkwkekkkk,bener bro kl impor kan bisa korup wkwkekkkk
@SagalaRaja-p5g,Mana bisa..Uda diatur tipu tipu duluan suap suap itu la tabiat tabiat didikan,mana bisa uda diatur tipu tipu duluan suap suap itu la tabiat tabiat didikan,mana bisa uda diatur tipu tipu duluan suap suap itu la tabiat tabiat didikan
@pekerjasangatkeras,Ganti pak archandra,ganti pak archandra,ganti pak archandra
@tonipongkoran9365,"Terlalu lama 2029, tinggal komitmen aja demo nepalkan golkar",terlalu lama 2029 tinggal komitmen aja demo nepalkan golkar,terlalu lama 2029 tinggal komitmen saja demo nepalkan golkar
@andreiyusuffahlifi1916,Ibarat anda minta ketua partai demokrat amirika ganti jabatan,ibarat anda minta ketua partai demokrat amirika ganti jabatan,ibarat anda minta ketua partai demokrat amirika ganti jabatan
@noworries-g4b,"​ @pekerjasangatkeras  bagus juga. Tapi ya terserah pak prabowo, dia lebih tau yg potensial naik.",bagus juga tapi ya terserah pak prabowo dia lebih tau yg potensial naik,bagus juga tapi ya terserah pak prabowo dia lebih tau yang potensial naik
@randommandom604,Ga bisa diganti sepertinya. Mungkin ada alasan khusus.,ga bisa diganti sepertinya mungkin ada alasan khusus,tidak bisa diganti sepertinya mungkin ada alasan khusus
@GoalTerus,Nepalkan,nepalkan,nepalkan
@makbarr1976,"Mana berani prabs ganti Bahlil, dia ketum Golkar 😂. Gonjang ganjing kabinet Prabowo kalau ketum Golkar di resuffle",mana berani prabs ganti bahlil dia ketum golkar gonjang ganjing kabinet prabowo kalau ketum golkar di resuffle,mana berani prabs ganti bahlil dia ketum golkar gonjang ganjing kabinet prabowo kalau ketum golkar di resuffle
@SaptaMuhammad-p9m,"d perusak hutan ,mngijikan tambang d rajaemat Papua ....knp kok d izinkan tambang d situ ,limbah pasti MNGHNCURKAN biota laut",d perusak hutan mngijikan tambang d rajaemat papua knp kok d izinkan tambang d situ limbah pasti mnghncurkan biota laut,d perusak hutan mngijikan tambang d rajaemat papua kenapa kok d izinkan tambang d situ limbah pasti mnghncurkan biota laut
@wendellkwang3724,demo lagi lah!!!,demo lagi lah,demo lagi lah
@zaganovyildirim12,Kelamaan cok nunggu 2029. Mending geruduk partainya aja biar bahlil di copot jdi ketua. Kalau semua rakyat kompak untuk turun maka parpol juga auto ga bisa seenaknya lagi. Dan jangan lupa untuk jaga menkeu kalau butuh mah kita nongkrong di kemenkeu untuk jaga purbaya karena ini orang independen bukan dri parpol maka pastinya akan ada ancaman di bunuh karena sudah banyak mengusik elit global.,kelamaan cok nunggu 2029 mending geruduk partainya aja biar bahlil di copot jdi ketua kalau semua rakyat kompak untuk turun maka parpol juga auto ga bisa seenaknya lagi dan jangan lupa untuk jaga menkeu kalau butuh mah kita nongkrong di kemenkeu untuk jaga purbaya karena ini orang independen bukan dri parpol maka pastinya akan ada ancaman di bunuh karena sudah banyak mengusik elit global,kelamaan cok nunggu 2029 mending geruduk partainya saja biar bahlil di copot jdi ketua kalau semua rakyat kompak untuk turun maka parpol juga auto tidak bisa seenaknya lagi dan jangan lupa untuk jaga menkeu kalau butuh mah kita nongkrong di kemenkeu untuk jaga purbaya karena ini orang independen bukan dri parpol maka pastinya akan ada ancaman di bunuh karena sudah banyak mengusik elit global
@Capibara7834,Bugilin aja biar tinggal pake sempac...tinggal Seret  Ke Sungai,bugilin aja biar tinggal pake sempac tinggal seret ke sungai,bugilin saja biar tinggal pake sempac tinggal seret ke sungai
@Siomey88,​ @GoalTerus aku itu ngefans bangat ama mbak Eno,aku itu ngefans bangat ama mbak eno,aku itu ngefans bangat ama mbak eno
@ilhamnuansa9382,yang paling bener buang aja semua menteri jokowi,yang paling bener buang aja semua menteri jokowi,yang paling bener buang saja semua menteri jokowi
@Ainur-k6b,Menteri goblin,menteri goblin,menteri goblin
@Siomey88,​ @Ainur-k6b nyemontet nyulpit nyulpit😢,k6b nyemontet nyulpit nyulpit,k6b nyemontet nyulpit nyulpit
@Sarip1208-b2m,Pecat aja itu p Bahlil tidak ada gunanya di Indonesia,pecat aja itu p bahlil tidak ada gunanya di indonesia,pecat saja itu p bahlil tidak ada gunanya di indonesia
@mustwin5504,Bpk presiden tahu siapa menteri baik siapa menteri jahat...yg rakyat tdk tahu bpk presiden berada di pihak mana,bpk presiden tahu siapa menteri baik siapa menteri jahat yg rakyat tdk tahu bpk presiden berada di pihak mana,bpk presiden tahu siapa menteri baik siapa menteri jahat yang rakyat tdk tahu bpk presiden berada di pihak mana
@sandi-wj2oh,Siap saya pun ikut ga bkln lgi pilih golkar klo ada kluargaku yg pilih golkarberani kelahi aku,siap saya pun ikut ga bkln lgi pilih golkar klo ada kluargaku yg pilih golkarberani kelahi aku,siap saya pun ikut tidak bkln lgi pilih golkar klo ada kluargaku yang pilih golkarberani kelahi aku
@MounaRudo-t9l,"Pak Prabowo Kayak nya sulit menurunkan Bahlil , karna mantan istri ada digolkar ..😅
Kita sebagai Rakyat hanya dibodohi orang2 Partai politik 😅",pak prabowo kayak nya sulit menurunkan bahlil karna mantan istri ada digolkar kita sebagai rakyat hanya dibodohi orang2 partai politik,pak prabowo kayak nya sulit menurunkan bahlil karena mantan istri ada digolkar kita sebagai rakyat hanya dibodohi orang2 partai politik
@hansmusik8963,"Bisa di ganti, cm harus ngambil dari Golkar lagi gantinya.",bisa di ganti cm harus ngambil dari golkar lagi gantinya,bisa di ganti cuma harus ngambil dari golkar lagi gantinya
@adeharapan7922,Nepal aja bisa,nepal aja bisa,nepal saja bisa
@faridaastuti9830,"Pdhl bnyaak  lbh competent, dr ITB dll. Coba cari yg ex direktur oil & mining corp. Posisi mentri  kan hrs yg benar2 skillfull & expert dan jng malu2 in.",pdhl bnyaak lbh competent dr itb dll coba cari yg ex direktur oil mining corp posisi mentri kan hrs yg benar2 skillfull expert dan jng malu2 in,pdhl bnyaak lbh competent dari itb dll coba cari yang ex direktur oil mining corp posisi mentri kan hrs yang benar2 skillfull expert dan jng malu2 in
@3gp25,Rumah nya kudu di nepalkan dulu baru di ganti. Presiden dari beberapa bulan lalu dah kasih kode. Tapi masyarakat gak ada yang sadar.,rumah nya kudu di nepalkan dulu baru di ganti presiden dari beberapa bulan lalu dah kasih kode tapi masyarakat gak ada yang sadar,rumah nya kudu di nepalkan dulu baru di ganti presiden dari beberapa bulan lalu sudah kasih kode tapi masyarakat gak ada yang sadar
@mas2_original,"Beratt, ini soal politik, 
Musti pelan2 mainya.

Purbaya ini ada untuk coba gempur mereka pelan2",beratt ini soal politik musti pelan2 mainya purbaya ini ada untuk coba gempur mereka pelan2,beratt ini soal politik musti pelan2 mainya purbaya ini ada untuk coba gempur mereka pelan2
@mas2_original,"​ @noworries-g4b bro, ini politik. Ngga semudah itu. Butuh proses",g4b bro ini politik ngga semudah itu butuh proses,g4b bro ini politik tidak semudah itu butuh proses
@mas2_original,"​ @randommandom604  berat, ini politik. 
Biar pak purbaya yg goyang",berat ini politik biar pak purbaya yg goyang,berat ini politik biar pak purbaya yang goyang
@TaufikHidayat-ch4dg,"Kan sudah di gugat warga bahlil cuman ga datang, pengecut",kan sudah di gugat warga bahlil cuman ga datang pengecut,kan sudah di gugat warga bahlil cuman tidak datang pengecut
@rfprokawan,Gas.. rakyat siap bersatu membangun kualitas SDM dan ESDM Indonesia,gas rakyat siap bersatu membangun kualitas sdm dan esdm indonesia,gas rakyat siap bersatu membangun kualitas sdm dan esdm indonesia
@ramsessimamora2444,"Biar ketum partai kalau nda becus presiden nda perlu kuatir resafel saja,rakyat siap",biar ketum partai kalau nda becus presiden nda perlu kuatir resafel saja rakyat siap,biar ketum partai kalau nda becus presiden nda perlu kuatir resafel saja rakyat siap
@roromera7685,"Menteri Keuangan bguz itu Kilang dibikin jd G import minyak , biasanya Negara Klo slalu Import takutnya keadaan Genting misalnya minyak udh mnipis klo yg Negara Eksport Minyak Ny g mau Jual gymna , klo bikin sndiri Kilang kan enak persediaan Minyak klo misalnya Keadaan Genting, Perang atau gymna jd udh ada Persediaan, Mf ne PeramaL Gumay kata bilang nnti Indonesia bakal Perang sama Australia biasa ny ramalan Gumay bner😮",menteri keuangan bguz itu kilang dibikin jd g import minyak biasanya negara klo slalu import takutnya keadaan genting misalnya minyak udh mnipis klo yg negara eksport minyak ny g mau jual gymna klo bikin sndiri kilang kan enak persediaan minyak klo misalnya keadaan genting perang atau gymna jd udh ada persediaan mf ne peramal gumay kata bilang nnti indonesia bakal perang sama australia biasa ny ramalan gumay bner,menteri keuangan bguz itu kilang dibikin jadi g import minyak biasanya negara klo slalu import takutnya keadaan genting misalnya minyak sudah mnipis klo yang negara eksport minyak ny g mau jual gymna klo bikin sndiri kilang kan enak persediaan minyak klo misalnya keadaan genting perang atau gymna jadi sudah ada persediaan mf ne peramal gumay kata bilang nnti indonesia bakal perang sama australia biasa ny ramalan gumay bner
@Ediwaelah-r6e,Percuma... kuncinya di presiden kalo presiden nya melempem.... wasalam,percuma kuncinya di presiden kalo presiden nya melempem wasalam,percuma kuncinya di presiden kalo presiden nya melempem wasalam
@inisialW00,​ @Ediwaelah-r6e iya kalo presiden nya abah atau genjer ya pasti mlempem dari kemaren ga ada kasus terbongkar wkwk,r6e iya kalo presiden nya abah atau genjer ya pasti mlempem dari kemaren ga ada kasus terbongkar wkwk,r6e iya kalo presiden nya abah atau genjer ya pasti mlempem dari kemaren tidak ada kasus terbongkar haha
@haysnairte4," @inisialW00  percuma berandai andai, yg udah jalan dua periode aja jelas fakta",percuma berandai andai yg udah jalan dua periode aja jelas fakta,percuma berandai andai yang sudah jalan dua periode saja jelas fakta
@prakasarevo5435,"Bahaya malah purbaya, baru naik langsung mo by one ma kesayangan geng",bahaya malah purbaya baru naik langsung mo by one ma kesayangan geng,bahaya malah purbaya baru naik langsung mo by one ma kesayangan geng
@Serang775,​ @roromera7685 jirrrrrrr percaya ma DUKUN😂😂,jirrrrrrr percaya ma dukun,jirrrrrrr percaya ma dukun
@sasongko5769,HIDOP PURAYAaa,hidop purayaaa,hidop purayaaa
@roromera7685,​ @Serang775  Bro kata PeramaL Gumay THN 2037 klo g salah Indonesia perang sama Australia,bro kata peramal gumay thn 2037 klo g salah indonesia perang sama australia,bro kata peramal gumay thn 2037 klo g salah indonesia perang sama australia
@juripenilaian3630,PERTAMINA LADANG KORUUUPPPP,pertamina ladang koruuupppp,pertamina ladang koruuupppp
