author,comment,clean_comment,tokens,bigrams
@Kang_adeErha,Benrrrr mafia import,benrrrr mafia import,"['benrrrr', 'mafia', 'import']","[('benrrrr', 'mafia'), ('mafia', 'import')]"
@yangpasti7319,Betul sekali,betul sekali,"['betul', 'sekali']","[('betul', 'sekali')]"
@erinnberlina4712,Dipecat saja pekerja rakyat yang selama ini bekerja merugikan rakyat masih banyak orang orang pintar yang akan bekerja,dipecat saja pekerja rakyat yang selama ini bekerja merugikan rakyat masih banyak orang orang pintar yang akan bekerja,"['dipecat', 'saja', 'pekerja', 'rakyat', 'yang', 'selama', 'ini', 'bekerja', 'merugikan', 'rakyat', 'masih', 'banyak', 'orang', 'orang', 'pintar', 'yang', 'akan', 'bekerja']","[('dipecat', 'saja'), ('saja', 'pekerja'), ('pekerja', 'rakyat'), ('rakyat', 'yang'), ('yang', 'selama'), ('selama', 'ini'), ('ini', 'bekerja'), ('bekerja', 'merugikan'), ('merugikan', 'rakyat'), ('rakyat', 'masih'), ('masih', 'banyak'), ('banyak', 'orang'), ('orang', 'orang'), ('orang', 'pintar'), ('pintar', 'yang'), ('yang', 'akan'), ('akan', 'bekerja')]"
@erinnberlina4712,​ @pesmobile-lh5fs hukum rakyat lebih adil seadil-adilnya,​ @pesmobile-lh5fs hukum rakyat lebih adil seadil-adilnya,"['\u200b', '@', 'pesmobile-lh5fs', 'hukum', 'rakyat', 'lebih', 'adil', 'seadil-adilnya']","[('\u200b', '@'), ('@', 'pesmobile-lh5fs'), ('pesmobile-lh5fs', 'hukum'), ('hukum', 'rakyat'), ('rakyat', 'lebih'), ('lebih', 'adil'), ('adil', 'seadil-adilnya')]"
@CepiCepi-q1b,Mafia kaya raya di singapore..mrk calo broker..,mafia kaya raya di singapore..mrk calo broker..,"['mafia', 'kaya', 'raya', 'di', 'singapore', '..', 'mrk', 'calo', 'broker', '..']","[('mafia', 'kaya'), ('kaya', 'raya'), ('raya', 'di'), ('di', 'singapore'), ('singapore', '..'), ('..', 'mrk'), ('mrk', 'calo'), ('calo', 'broker'), ('broker', '..')]"
@EnyFarida-s3u,"Betul..
Ngk bisa nyolong...","betul..
ngk bisa nyolong...","['betul', '..', 'ngk', 'bisa', 'nyolong', '...']","[('betul', '..'), ('..', 'ngk'), ('ngk', 'bisa'), ('bisa', 'nyolong'), ('nyolong', '...')]"
@sanyvideo9285,pecat Purbaya,pecat purbaya,"['pecat', 'purbaya']","[('pecat', 'purbaya')]"
@pencarikeadilan4287,Ayook kita serbu lagi rumah mafia minyak🎉🎉,ayook kita serbu lagi rumah mafia minyak🎉🎉,"['ayook', 'kita', 'serbu', 'lagi', 'rumah', 'mafia', 'minyak🎉🎉']","[('ayook', 'kita'), ('kita', 'serbu'), ('serbu', 'lagi'), ('lagi', 'rumah'), ('rumah', 'mafia'), ('mafia', 'minyak🎉🎉')]"
@yogi.wisnuadi,Tiap tahun ada aja kilang yang diledakin sama mafia ini,tiap tahun ada aja kilang yang diledakin sama mafia ini,"['tiap', 'tahun', 'ada', 'aja', 'kilang', 'yang', 'diledakin', 'sama', 'mafia', 'ini']","[('tiap', 'tahun'), ('tahun', 'ada'), ('ada', 'aja'), ('aja', 'kilang'), ('kilang', 'yang'), ('yang', 'diledakin'), ('diledakin', 'sama'), ('sama', 'mafia'), ('mafia', 'ini')]"
@fchristono,cocok,cocok,['cocok'],[]
@akrSaefullah,Gampang kok siapa yang calo impor yang sedang buron sekarang..cuan bagi-bagi  kepejanat,gampang kok siapa yang calo impor yang sedang buron sekarang..cuan bagi-bagi  kepejanat,"['gampang', 'kok', 'siapa', 'yang', 'calo', 'impor', 'yang', 'sedang', 'buron', 'sekarang', '..', 'cuan', 'bagi-bagi', 'kepejanat']","[('gampang', 'kok'), ('kok', 'siapa'), ('siapa', 'yang'), ('yang', 'calo'), ('calo', 'impor'), ('impor', 'yang'), ('yang', 'sedang'), ('sedang', 'buron'), ('buron', 'sekarang'), ('sekarang', '..'), ('..', 'cuan'), ('cuan', 'bagi-bagi'), ('bagi-bagi', 'kepejanat')]"
@dikaabriyan3026,Nanti v impornya hilang bro😂,nanti v impornya hilang bro😂,"['nanti', 'v', 'impornya', 'hilang', 'bro😂']","[('nanti', 'v'), ('v', 'impornya'), ('impornya', 'hilang'), ('hilang', 'bro😂')]"
@abdusshomad6630,"Banyak malingnya.
Terutama yang hobi menyakiti rakyat","banyak malingnya.
terutama yang hobi menyakiti rakyat","['banyak', 'malingnya', '.', 'terutama', 'yang', 'hobi', 'menyakiti', 'rakyat']","[('banyak', 'malingnya'), ('malingnya', '.'), ('.', 'terutama'), ('terutama', 'yang'), ('yang', 'hobi'), ('hobi', 'menyakiti'), ('menyakiti', 'rakyat')]"
@nursudi989,"di negara lain suddh mulai tutup spbu , di cina 60℅ spbu sdh tutp,eranya sdh berubah ,menurutku bangun kilang juga rugi,import juga rugi 😊😊😊😊😊","di negara lain suddh mulai tutup spbu , di cina 60℅ spbu sdh tutp,eranya sdh berubah ,menurutku bangun kilang juga rugi,import juga rugi 😊😊😊😊😊","['di', 'negara', 'lain', 'suddh', 'mulai', 'tutup', 'spbu', ',', 'di', 'cina', '60℅', 'spbu', 'sdh', 'tutp', ',', 'eranya', 'sdh', 'berubah', ',', 'menurutku', 'bangun', 'kilang', 'juga', 'rugi', ',', 'import', 'juga', 'rugi', '😊😊😊😊😊']","[('di', 'negara'), ('negara', 'lain'), ('lain', 'suddh'), ('suddh', 'mulai'), ('mulai', 'tutup'), ('tutup', 'spbu'), ('spbu', ','), (',', 'di'), ('di', 'cina'), ('cina', '60℅'), ('60℅', 'spbu'), ('spbu', 'sdh'), ('sdh', 'tutp'), ('tutp', ','), (',', 'eranya'), ('eranya', 'sdh'), ('sdh', 'berubah'), ('berubah', ','), (',', 'menurutku'), ('menurutku', 'bangun'), ('bangun', 'kilang'), ('kilang', 'juga'), ('juga', 'rugi'), ('rugi', ','), (',', 'import'), ('import', 'juga'), ('juga', 'rugi'), ('rugi', '😊😊😊😊😊')]"
@picanical1701,"mereka tidak rugi apapun, tapi mereka tidak bisa ambil untung","mereka tidak rugi apapun, tapi mereka tidak bisa ambil untung","['mereka', 'tidak', 'rugi', 'apapun', ',', 'tapi', 'mereka', 'tidak', 'bisa', 'ambil', 'untung']","[('mereka', 'tidak'), ('tidak', 'rugi'), ('rugi', 'apapun'), ('apapun', ','), (',', 'tapi'), ('tapi', 'mereka'), ('mereka', 'tidak'), ('tidak', 'bisa'), ('bisa', 'ambil'), ('ambil', 'untung')]"
@DwiErAzhuCreator,​ @AvrahamBenYitzhak-s4v ngak heran Singapura maju pembangunannya ternyata yang buat bangun uang dari Indonesia 🤫,​ @avrahambenyitzhak-s4v ngak heran singapura maju pembangunannya ternyata yang buat bangun uang dari indonesia 🤫,"['\u200b', '@', 'avrahambenyitzhak-s4v', 'ngak', 'heran', 'singapura', 'maju', 'pembangunannya', 'ternyata', 'yang', 'buat', 'bangun', 'uang', 'dari', 'indonesia', '🤫']","[('\u200b', '@'), ('@', 'avrahambenyitzhak-s4v'), ('avrahambenyitzhak-s4v', 'ngak'), ('ngak', 'heran'), ('heran', 'singapura'), ('singapura', 'maju'), ('maju', 'pembangunannya'), ('pembangunannya', 'ternyata'), ('ternyata', 'yang'), ('yang', 'buat'), ('buat', 'bangun'), ('bangun', 'uang'), ('uang', 'dari'), ('dari', 'indonesia'), ('indonesia', '🤫')]"
@Ramarama-yw4sj,Bener bro kl impor kan bisa korup wkwkekkkk,bener bro kl impor kan bisa korup wkwkekkkk,"['bener', 'bro', 'kl', 'impor', 'kan', 'bisa', 'korup', 'wkwkekkkk']","[('bener', 'bro'), ('bro', 'kl'), ('kl', 'impor'), ('impor', 'kan'), ('kan', 'bisa'), ('bisa', 'korup'), ('korup', 'wkwkekkkk')]"
@SagalaRaja-p5g,Mana bisa..Uda diatur tipu tipu duluan suap suap itu la tabiat tabiat didikan,mana bisa..uda diatur tipu tipu duluan suap suap itu la tabiat tabiat didikan,"['mana', 'bisa', '..', 'uda', 'diatur', 'tipu', 'tipu', 'duluan', 'suap', 'suap', 'itu', 'la', 'tabiat', 'tabiat', 'didikan']","[('mana', 'bisa'), ('bisa', '..'), ('..', 'uda'), ('uda', 'diatur'), ('diatur', 'tipu'), ('tipu', 'tipu'), ('tipu', 'duluan'), ('duluan', 'suap'), ('suap', 'suap'), ('suap', 'itu'), ('itu', 'la'), ('la', 'tabiat'), ('tabiat', 'tabiat'), ('tabiat', 'didikan')]"
@pekerjasangatkeras,Ganti pak archandra,ganti pak archandra,"['ganti', 'pak', 'archandra']","[('ganti', 'pak'), ('pak', 'archandra')]"
@tonipongkoran9365,"Terlalu lama 2029, tinggal komitmen aja demo nepalkan golkar","terlalu lama 2029, tinggal komitmen aja demo nepalkan golkar","['terlalu', 'lama', '2029', ',', 'tinggal', 'komitmen', 'aja', 'demo', 'nepalkan', 'golkar']","[('terlalu', 'lama'), ('lama', '2029'), ('2029', ','), (',', 'tinggal'), ('tinggal', 'komitmen'), ('komitmen', 'aja'), ('aja', 'demo'), ('demo', 'nepalkan'), ('nepalkan', 'golkar')]"
@andreiyusuffahlifi1916,Ibarat anda minta ketua partai demokrat amirika ganti jabatan,ibarat anda minta ketua partai demokrat amirika ganti jabatan,"['ibarat', 'anda', 'minta', 'ketua', 'partai', 'demokrat', 'amirika', 'ganti', 'jabatan']","[('ibarat', 'anda'), ('anda', 'minta'), ('minta', 'ketua'), ('ketua', 'partai'), ('partai', 'demokrat'), ('demokrat', 'amirika'), ('amirika', 'ganti'), ('ganti', 'jabatan')]"
@noworries-g4b,"​ @pekerjasangatkeras  bagus juga. Tapi ya terserah pak prabowo, dia lebih tau yg potensial naik.","​ @pekerjasangatkeras  bagus juga. tapi ya terserah pak prabowo, dia lebih tau yg potensial naik.","['\u200b', '@', 'pekerjasangatkeras', 'bagus', 'juga', '.', 'tapi', 'ya', 'terserah', 'pak', 'prabowo', ',', 'dia', 'lebih', 'tau', 'yg', 'potensial', 'naik', '.']","[('\u200b', '@'), ('@', 'pekerjasangatkeras'), ('pekerjasangatkeras', 'bagus'), ('bagus', 'juga'), ('juga', '.'), ('.', 'tapi'), ('tapi', 'ya'), ('ya', 'terserah'), ('terserah', 'pak'), ('pak', 'prabowo'), ('prabowo', ','), (',', 'dia'), ('dia', 'lebih'), ('lebih', 'tau'), ('tau', 'yg'), ('yg', 'potensial'), ('potensial', 'naik'), ('naik', '.')]"
@randommandom604,Ga bisa diganti sepertinya. Mungkin ada alasan khusus.,ga bisa diganti sepertinya. mungkin ada alasan khusus.,"['ga', 'bisa', 'diganti', 'sepertinya', '.', 'mungkin', 'ada', 'alasan', 'khusus', '.']","[('ga', 'bisa'), ('bisa', 'diganti'), ('diganti', 'sepertinya'), ('sepertinya', '.'), ('.', 'mungkin'), ('mungkin', 'ada'), ('ada', 'alasan'), ('alasan', 'khusus'), ('khusus', '.')]"
@GoalTerus,Nepalkan,nepalkan,['nepalkan'],[]
@makbarr1976,"Mana berani prabs ganti Bahlil, dia ketum Golkar 😂. Gonjang ganjing kabinet Prabowo kalau ketum Golkar di resuffle","mana berani prabs ganti bahlil, dia ketum golkar 😂. gonjang ganjing kabinet prabowo kalau ketum golkar di resuffle","['mana', 'berani', 'prabs', 'ganti', 'bahlil', ',', 'dia', 'ketum', 'golkar', '😂', '.', 'gonjang', 'ganjing', 'kabinet', 'prabowo', 'kalau', 'ketum', 'golkar', 'di', 'resuffle']","[('mana', 'berani'), ('berani', 'prabs'), ('prabs', 'ganti'), ('ganti', 'bahlil'), ('bahlil', ','), (',', 'dia'), ('dia', 'ketum'), ('ketum', 'golkar'), ('golkar', '😂'), ('😂', '.'), ('.', 'gonjang'), ('gonjang', 'ganjing'), ('ganjing', 'kabinet'), ('kabinet', 'prabowo'), ('prabowo', 'kalau'), ('kalau', 'ketum'), ('ketum', 'golkar'), ('golkar', 'di'), ('di', 'resuffle')]"
@SaptaMuhammad-p9m,"d perusak hutan ,mngijikan tambang d rajaemat Papua ....knp kok d izinkan tambang d situ ,limbah pasti MNGHNCURKAN biota laut","d perusak hutan ,mngijikan tambang d rajaemat papua ....knp kok d izinkan tambang d situ ,limbah pasti mnghncurkan biota laut","['d', 'perusak', 'hutan', ',', 'mngijikan', 'tambang', 'd', 'rajaemat', 'papua', '....', 'knp', 'kok', 'd', 'izinkan', 'tambang', 'd', 'situ', ',', 'limbah', 'pasti', 'mnghncurkan', 'biota', 'laut']","[('d', 'perusak'), ('perusak', 'hutan'), ('hutan', ','), (',', 'mngijikan'), ('mngijikan', 'tambang'), ('tambang', 'd'), ('d', 'rajaemat'), ('rajaemat', 'papua'), ('papua', '....'), ('....', 'knp'), ('knp', 'kok'), ('kok', 'd'), ('d', 'izinkan'), ('izinkan', 'tambang'), ('tambang', 'd'), ('d', 'situ'), ('situ', ','), (',', 'limbah'), ('limbah', 'pasti'), ('pasti', 'mnghncurkan'), ('mnghncurkan', 'biota'), ('biota', 'laut')]"
@wendellkwang3724,demo lagi lah!!!,demo lagi lah!!!,"['demo', 'lagi', 'lah', '!', '!', '!']","[('demo', 'lagi'), ('lagi', 'lah'), ('lah', '!'), ('!', '!'), ('!', '!')]"
@zaganovyildirim12,Kelamaan cok nunggu 2029. Mending geruduk partainya aja biar bahlil di copot jdi ketua. Kalau semua rakyat kompak untuk turun maka parpol juga auto ga bisa seenaknya lagi. Dan jangan lupa untuk jaga menkeu kalau butuh mah kita nongkrong di kemenkeu untuk jaga purbaya karena ini orang independen bukan dri parpol maka pastinya akan ada ancaman di bunuh karena sudah banyak mengusik elit global.,kelamaan cok nunggu 2029. mending geruduk partainya aja biar bahlil di copot jdi ketua. kalau semua rakyat kompak untuk turun maka parpol juga auto ga bisa seenaknya lagi. dan jangan lupa untuk jaga menkeu kalau butuh mah kita nongkrong di kemenkeu untuk jaga purbaya karena ini orang independen bukan dri parpol maka pastinya akan ada ancaman di bunuh karena sudah banyak mengusik elit global.,"['kelamaan', 'cok', 'nunggu', '2029.', 'mending', 'geruduk', 'partainya', 'aja', 'biar', 'bahlil', 'di', 'copot', 'jdi', 'ketua', '.', 'kalau', 'semua', 'rakyat', 'kompak', 'untuk', 'turun', 'maka', 'parpol', 'juga', 'auto', 'ga', 'bisa', 'seenaknya', 'lagi', '.', 'dan', 'jangan', 'lupa', 'untuk', 'jaga', 'menkeu', 'kalau', 'butuh', 'mah', 'kita', 'nongkrong', 'di', 'kemenkeu', 'untuk', 'jaga', 'purbaya', 'karena', 'ini', 'orang', 'independen', 'bukan', 'dri', 'parpol', 'maka', 'pastinya', 'akan', 'ada', 'ancaman', 'di', 'bunuh', 'karena', 'sudah', 'banyak', 'mengusik', 'elit', 'global', '.']","[('kelamaan', 'cok'), ('cok', 'nunggu'), ('nunggu', '2029.'), ('2029.', 'mending'), ('mending', 'geruduk'), ('geruduk', 'partainya'), ('partainya', 'aja'), ('aja', 'biar'), ('biar', 'bahlil'), ('bahlil', 'di'), ('di', 'copot'), ('copot', 'jdi'), ('jdi', 'ketua'), ('ketua', '.'), ('.', 'kalau'), ('kalau', 'semua'), ('semua', 'rakyat'), ('rakyat', 'kompak'), ('kompak', 'untuk'), ('untuk', 'turun'), ('turun', 'maka'), ('maka', 'parpol'), ('parpol', 'juga'), ('juga', 'auto'), ('auto', 'ga'), ('ga', 'bisa'), ('bisa', 'seenaknya'), ('seenaknya', 'lagi'), ('lagi', '.'), ('.', 'dan'), ('dan', 'jangan'), ('jangan', 'lupa'), ('lupa', 'untuk'), ('untuk', 'jaga'), ('jaga', 'menkeu'), ('menkeu', 'kalau'), ('kalau', 'butuh'), ('butuh', 'mah'), ('mah', 'kita'), ('kita', 'nongkrong'), ('nongkrong', 'di'), ('di', 'kemenkeu'), ('kemenkeu', 'untuk'), ('untuk', 'jaga'), ('jaga', 'purbaya'), ('purbaya', 'karena'), ('karena', 'ini'), ('ini', 'orang'), ('orang', 'independen'), ('independen', 'bukan'), ('bukan', 'dri'), ('dri', 'parpol'), ('parpol', 'maka'), ('maka', 'pastinya'), ('pastinya', 'akan'), ('akan', 'ada'), ('ada', 'ancaman'), ('ancaman', 'di'), ('di', 'bunuh'), ('bunuh', 'karena'), ('karena', 'sudah'), ('sudah', 'banyak'), ('banyak', 'mengusik'), ('mengusik', 'elit'), ('elit', 'global'), ('global', '.')]"
@Capibara7834,Bugilin aja biar tinggal pake sempac...tinggal Seret  Ke Sungai,bugilin aja biar tinggal pake sempac...tinggal seret  ke sungai,"['bugilin', 'aja', 'biar', 'tinggal', 'pake', 'sempac', '...', 'tinggal', 'seret', 'ke', 'sungai']","[('bugilin', 'aja'), ('aja', 'biar'), ('biar', 'tinggal'), ('tinggal', 'pake'), ('pake', 'sempac'), ('sempac', '...'), ('...', 'tinggal'), ('tinggal', 'seret'), ('seret', 'ke'), ('ke', 'sungai')]"
@Siomey88,​ @GoalTerus aku itu ngefans bangat ama mbak Eno,​ @goalterus aku itu ngefans bangat ama mbak eno,"['\u200b', '@', 'goalterus', 'aku', 'itu', 'ngefans', 'bangat', 'ama', 'mbak', 'eno']","[('\u200b', '@'), ('@', 'goalterus'), ('goalterus', 'aku'), ('aku', 'itu'), ('itu', 'ngefans'), ('ngefans', 'bangat'), ('bangat', 'ama'), ('ama', 'mbak'), ('mbak', 'eno')]"
@ilhamnuansa9382,yang paling bener buang aja semua menteri jokowi,yang paling bener buang aja semua menteri jokowi,"['yang', 'paling', 'bener', 'buang', 'aja', 'semua', 'menteri', 'jokowi']","[('yang', 'paling'), ('paling', 'bener'), ('bener', 'buang'), ('buang', 'aja'), ('aja', 'semua'), ('semua', 'menteri'), ('menteri', 'jokowi')]"
@Ainur-k6b,Menteri goblin,menteri goblin,"['menteri', 'goblin']","[('menteri', 'goblin')]"
@Siomey88,​ @Ainur-k6b nyemontet nyulpit nyulpit😢,​ @ainur-k6b nyemontet nyulpit nyulpit😢,"['\u200b', '@', 'ainur-k6b', 'nyemontet', 'nyulpit', 'nyulpit😢']","[('\u200b', '@'), ('@', 'ainur-k6b'), ('ainur-k6b', 'nyemontet'), ('nyemontet', 'nyulpit'), ('nyulpit', 'nyulpit😢')]"
@Sarip1208-b2m,Pecat aja itu p Bahlil tidak ada gunanya di Indonesia,pecat aja itu p bahlil tidak ada gunanya di indonesia,"['pecat', 'aja', 'itu', 'p', 'bahlil', 'tidak', 'ada', 'gunanya', 'di', 'indonesia']","[('pecat', 'aja'), ('aja', 'itu'), ('itu', 'p'), ('p', 'bahlil'), ('bahlil', 'tidak'), ('tidak', 'ada'), ('ada', 'gunanya'), ('gunanya', 'di'), ('di', 'indonesia')]"
@mustwin5504,Bpk presiden tahu siapa menteri baik siapa menteri jahat...yg rakyat tdk tahu bpk presiden berada di pihak mana,bpk presiden tahu siapa menteri baik siapa menteri jahat...yg rakyat tdk tahu bpk presiden berada di pihak mana,"['bpk', 'presiden', 'tahu', 'siapa', 'menteri', 'baik', 'siapa', 'menteri', 'jahat', '...', 'yg', 'rakyat', 'tdk', 'tahu', 'bpk', 'presiden', 'berada', 'di', 'pihak', 'mana']","[('bpk', 'presiden'), ('presiden', 'tahu'), ('tahu', 'siapa'), ('siapa', 'menteri'), ('menteri', 'baik'), ('baik', 'siapa'), ('siapa', 'menteri'), ('menteri', 'jahat'), ('jahat', '...'), ('...', 'yg'), ('yg', 'rakyat'), ('rakyat', 'tdk'), ('tdk', 'tahu'), ('tahu', 'bpk'), ('bpk', 'presiden'), ('presiden', 'berada'), ('berada', 'di'), ('di', 'pihak'), ('pihak', 'mana')]"
@sandi-wj2oh,Siap saya pun ikut ga bkln lgi pilih golkar klo ada kluargaku yg pilih golkarberani kelahi aku,siap saya pun ikut ga bkln lgi pilih golkar klo ada kluargaku yg pilih golkarberani kelahi aku,"['siap', 'saya', 'pun', 'ikut', 'ga', 'bkln', 'lgi', 'pilih', 'golkar', 'klo', 'ada', 'kluargaku', 'yg', 'pilih', 'golkarberani', 'kelahi', 'aku']","[('siap', 'saya'), ('saya', 'pun'), ('pun', 'ikut'), ('ikut', 'ga'), ('ga', 'bkln'), ('bkln', 'lgi'), ('lgi', 'pilih'), ('pilih', 'golkar'), ('golkar', 'klo'), ('klo', 'ada'), ('ada', 'kluargaku'), ('kluargaku', 'yg'), ('yg', 'pilih'), ('pilih', 'golkarberani'), ('golkarberani', 'kelahi'), ('kelahi', 'aku')]"
@MounaRudo-t9l,"Pak Prabowo Kayak nya sulit menurunkan Bahlil , karna mantan istri ada digolkar ..😅
Kita sebagai Rakyat hanya dibodohi orang2 Partai politik 😅","pak prabowo kayak nya sulit menurunkan bahlil , karna mantan istri ada digolkar ..😅
kita sebagai rakyat hanya dibodohi orang2 partai politik 😅","['pak', 'prabowo', 'kayak', 'nya', 'sulit', 'menurunkan', 'bahlil', ',', 'karna', 'mantan', 'istri', 'ada', 'digolkar', '..', '😅', 'kita', 'sebagai', 'rakyat', 'hanya', 'dibodohi', 'orang2', 'partai', 'politik', '😅']","[('pak', 'prabowo'), ('prabowo', 'kayak'), ('kayak', 'nya'), ('nya', 'sulit'), ('sulit', 'menurunkan'), ('menurunkan', 'bahlil'), ('bahlil', ','), (',', 'karna'), ('karna', 'mantan'), ('mantan', 'istri'), ('istri', 'ada'), ('ada', 'digolkar'), ('digolkar', '..'), ('..', '😅'), ('😅', 'kita'), ('kita', 'sebagai'), ('sebagai', 'rakyat'), ('rakyat', 'hanya'), ('hanya', 'dibodohi'), ('dibodohi', 'orang2'), ('orang2', 'partai'), ('partai', 'politik'), ('politik', '😅')]"
@hansmusik8963,"Bisa di ganti, cm harus ngambil dari Golkar lagi gantinya.","bisa di ganti, cm harus ngambil dari golkar lagi gantinya.","['bisa', 'di', 'ganti', ',', 'cm', 'harus', 'ngambil', 'dari', 'golkar', 'lagi', 'gantinya', '.']","[('bisa', 'di'), ('di', 'ganti'), ('ganti', ','), (',', 'cm'), ('cm', 'harus'), ('harus', 'ngambil'), ('ngambil', 'dari'), ('dari', 'golkar'), ('golkar', 'lagi'), ('lagi', 'gantinya'), ('gantinya', '.')]"
@adeharapan7922,Nepal aja bisa,nepal aja bisa,"['nepal', 'aja', 'bisa']","[('nepal', 'aja'), ('aja', 'bisa')]"
@faridaastuti9830,"Pdhl bnyaak  lbh competent, dr ITB dll. Coba cari yg ex direktur oil & mining corp. Posisi mentri  kan hrs yg benar2 skillfull & expert dan jng malu2 in.","pdhl bnyaak  lbh competent, dr itb dll. coba cari yg ex direktur oil & mining corp. posisi mentri  kan hrs yg benar2 skillfull & expert dan jng malu2 in.","['pdhl', 'bnyaak', 'lbh', 'competent', ',', 'dr', 'itb', 'dll', '.', 'coba', 'cari', 'yg', 'ex', 'direktur', 'oil', '&', 'mining', 'corp.', 'posisi', 'mentri', 'kan', 'hrs', 'yg', 'benar2', 'skillfull', '&', 'expert', 'dan', 'jng', 'malu2', 'in', '.']","[('pdhl', 'bnyaak'), ('bnyaak', 'lbh'), ('lbh', 'competent'), ('competent', ','), (',', 'dr'), ('dr', 'itb'), ('itb', 'dll'), ('dll', '.'), ('.', 'coba'), ('coba', 'cari'), ('cari', 'yg'), ('yg', 'ex'), ('ex', 'direktur'), ('direktur', 'oil'), ('oil', '&'), ('&', 'mining'), ('mining', 'corp.'), ('corp.', 'posisi'), ('posisi', 'mentri'), ('mentri', 'kan'), ('kan', 'hrs'), ('hrs', 'yg'), ('yg', 'benar2'), ('benar2', 'skillfull'), ('skillfull', '&'), ('&', 'expert'), ('expert', 'dan'), ('dan', 'jng'), ('jng', 'malu2'), ('malu2', 'in'), ('in', '.')]"
@3gp25,Rumah nya kudu di nepalkan dulu baru di ganti. Presiden dari beberapa bulan lalu dah kasih kode. Tapi masyarakat gak ada yang sadar.,rumah nya kudu di nepalkan dulu baru di ganti. presiden dari beberapa bulan lalu dah kasih kode. tapi masyarakat gak ada yang sadar.,"['rumah', 'nya', 'kudu', 'di', 'nepalkan', 'dulu', 'baru', 'di', 'ganti', '.', 'presiden', 'dari', 'beberapa', 'bulan', 'lalu', 'dah', 'kasih', 'kode', '.', 'tapi', 'masyarakat', 'gak', 'ada', 'yang', 'sadar', '.']","[('rumah', 'nya'), ('nya', 'kudu'), ('kudu', 'di'), ('di', 'nepalkan'), ('nepalkan', 'dulu'), ('dulu', 'baru'), ('baru', 'di'), ('di', 'ganti'), ('ganti', '.'), ('.', 'presiden'), ('presiden', 'dari'), ('dari', 'beberapa'), ('beberapa', 'bulan'), ('bulan', 'lalu'), ('lalu', 'dah'), ('dah', 'kasih'), ('kasih', 'kode'), ('kode', '.'), ('.', 'tapi'), ('tapi', 'masyarakat'), ('masyarakat', 'gak'), ('gak', 'ada'), ('ada', 'yang'), ('yang', 'sadar'), ('sadar', '.')]"
@mas2_original,"Beratt, ini soal politik, 
Musti pelan2 mainya.

Purbaya ini ada untuk coba gempur mereka pelan2","beratt, ini soal politik, 
musti pelan2 mainya.

purbaya ini ada untuk coba gempur mereka pelan2","['beratt', ',', 'ini', 'soal', 'politik', ',', 'musti', 'pelan2', 'mainya', '.', 'purbaya', 'ini', 'ada', 'untuk', 'coba', 'gempur', 'mereka', 'pelan2']","[('beratt', ','), (',', 'ini'), ('ini', 'soal'), ('soal', 'politik'), ('politik', ','), (',', 'musti'), ('musti', 'pelan2'), ('pelan2', 'mainya'), ('mainya', '.'), ('.', 'purbaya'), ('purbaya', 'ini'), ('ini', 'ada'), ('ada', 'untuk'), ('untuk', 'coba'), ('coba', 'gempur'), ('gempur', 'mereka'), ('mereka', 'pelan2')]"
@mas2_original,"​ @noworries-g4b bro, ini politik. Ngga semudah itu. Butuh proses","​ @noworries-g4b bro, ini politik. ngga semudah itu. butuh proses","['\u200b', '@', 'noworries-g4b', 'bro', ',', 'ini', 'politik', '.', 'ngga', 'semudah', 'itu', '.', 'butuh', 'proses']","[('\u200b', '@'), ('@', 'noworries-g4b'), ('noworries-g4b', 'bro'), ('bro', ','), (',', 'ini'), ('ini', 'politik'), ('politik', '.'), ('.', 'ngga'), ('ngga', 'semudah'), ('semudah', 'itu'), ('itu', '.'), ('.', 'butuh'), ('butuh', 'proses')]"
@mas2_original,"​ @randommandom604  berat, ini politik. 
Biar pak purbaya yg goyang","​ @randommandom604  berat, ini politik. 
biar pak purbaya yg goyang","['\u200b', '@', 'randommandom604', 'berat', ',', 'ini', 'politik', '.', 'biar', 'pak', 'purbaya', 'yg', 'goyang']","[('\u200b', '@'), ('@', 'randommandom604'), ('randommandom604', 'berat'), ('berat', ','), (',', 'ini'), ('ini', 'politik'), ('politik', '.'), ('.', 'biar'), ('biar', 'pak'), ('pak', 'purbaya'), ('purbaya', 'yg'), ('yg', 'goyang')]"
@TaufikHidayat-ch4dg,"Kan sudah di gugat warga bahlil cuman ga datang, pengecut","kan sudah di gugat warga bahlil cuman ga datang, pengecut","['kan', 'sudah', 'di', 'gugat', 'warga', 'bahlil', 'cuman', 'ga', 'datang', ',', 'pengecut']","[('kan', 'sudah'), ('sudah', 'di'), ('di', 'gugat'), ('gugat', 'warga'), ('warga', 'bahlil'), ('bahlil', 'cuman'), ('cuman', 'ga'), ('ga', 'datang'), ('datang', ','), (',', 'pengecut')]"
@rfprokawan,Gas.. rakyat siap bersatu membangun kualitas SDM dan ESDM Indonesia,gas.. rakyat siap bersatu membangun kualitas sdm dan esdm indonesia,"['gas', '..', 'rakyat', 'siap', 'bersatu', 'membangun', 'kualitas', 'sdm', 'dan', 'esdm', 'indonesia']","[('gas', '..'), ('..', 'rakyat'), ('rakyat', 'siap'), ('siap', 'bersatu'), ('bersatu', 'membangun'), ('membangun', 'kualitas'), ('kualitas', 'sdm'), ('sdm', 'dan'), ('dan', 'esdm'), ('esdm', 'indonesia')]"
