author,comment,clean_comment,tokens,trigrams
@erinnberlina4712,"​ @wayyoffyouyuo868 harus diusut tuntas seluruh rakyat tau gaji pekerja rakyat perbulannya berapa jika melebihi harus di usut, orang orang pintar tidak mudah dibodohi","​ @wayyoffyouyuo868 harus diusut tuntas seluruh rakyat tau gaji pekerja rakyat perbulannya berapa jika melebihi harus di usut, orang orang pintar tidak mudah dibodohi","['\u200b', '@', 'wayyoffyouyuo868', 'harus', 'diusut', 'tuntas', 'seluruh', 'rakyat', 'tau', 'gaji', 'pekerja', 'rakyat', 'perbulannya', 'berapa', 'jika', 'melebihi', 'harus', 'di', 'usut', ',', 'orang', 'orang', 'pintar', 'tidak', 'mudah', 'dibodohi']","[('\u200b', '@', 'wayyoffyouyuo868'), ('@', 'wayyoffyouyuo868', 'harus'), ('wayyoffyouyuo868', 'harus', 'diusut'), ('harus', 'diusut', 'tuntas'), ('diusut', 'tuntas', 'seluruh'), ('tuntas', 'seluruh', 'rakyat'), ('seluruh', 'rakyat', 'tau'), ('rakyat', 'tau', 'gaji'), ('tau', 'gaji', 'pekerja'), ('gaji', 'pekerja', 'rakyat'), ('pekerja', 'rakyat', 'perbulannya'), ('rakyat', 'perbulannya', 'berapa'), ('perbulannya', 'berapa', 'jika'), ('berapa', 'jika', 'melebihi'), ('jika', 'melebihi', 'harus'), ('melebihi', 'harus', 'di'), ('harus', 'di', 'usut'), ('di', 'usut', ','), ('usut', ',', 'orang'), (',', 'orang', 'orang'), ('orang', 'orang', 'pintar'), ('orang', 'pintar', 'tidak'), ('pintar', 'tidak', 'mudah'), ('tidak', 'mudah', 'dibodohi')]"
@mrartdeco,muka ky goblin kelakuan ky goblin. Gila juga bisa gitu,muka ky goblin kelakuan ky goblin. gila juga bisa gitu,"['muka', 'ky', 'goblin', 'kelakuan', 'ky', 'goblin', '.', 'gila', 'juga', 'bisa', 'gitu']","[('muka', 'ky', 'goblin'), ('ky', 'goblin', 'kelakuan'), ('goblin', 'kelakuan', 'ky'), ('kelakuan', 'ky', 'goblin'), ('ky', 'goblin', '.'), ('goblin', '.', 'gila'), ('.', 'gila', 'juga'), ('gila', 'juga', 'bisa'), ('juga', 'bisa', 'gitu')]"
@hendrichairil667,goblin bang gobblinnn itu bahlil goblin,goblin bang gobblinnn itu bahlil goblin,"['goblin', 'bang', 'gobblinnn', 'itu', 'bahlil', 'goblin']","[('goblin', 'bang', 'gobblinnn'), ('bang', 'gobblinnn', 'itu'), ('gobblinnn', 'itu', 'bahlil'), ('itu', 'bahlil', 'goblin')]"
@MongkydLuffy-g6o3j,Goblin m memang😂 anj,goblin m memang😂 anj,"['goblin', 'm', 'memang😂', 'anj']","[('goblin', 'm', 'memang😂'), ('m', 'memang😂', 'anj')]"
@marine06,Doktor yg gelarnya dicabut.,doktor yg gelarnya dicabut.,"['doktor', 'yg', 'gelarnya', 'dicabut', '.']","[('doktor', 'yg', 'gelarnya'), ('yg', 'gelarnya', 'dicabut'), ('gelarnya', 'dicabut', '.')]"
@rmulyadinata1846,oknum mafia migas kok malah dijadikan menteri ESDM.. Gimana ini pak pres 😂,oknum mafia migas kok malah dijadikan menteri esdm.. gimana ini pak pres 😂,"['oknum', 'mafia', 'migas', 'kok', 'malah', 'dijadikan', 'menteri', 'esdm', '..', 'gimana', 'ini', 'pak', 'pres', '😂']","[('oknum', 'mafia', 'migas'), ('mafia', 'migas', 'kok'), ('migas', 'kok', 'malah'), ('kok', 'malah', 'dijadikan'), ('malah', 'dijadikan', 'menteri'), ('dijadikan', 'menteri', 'esdm'), ('menteri', 'esdm', '..'), ('esdm', '..', 'gimana'), ('..', 'gimana', 'ini'), ('gimana', 'ini', 'pak'), ('ini', 'pak', 'pres'), ('pak', 'pres', '😂')]"
@PecintaTobrut-s3t7u,Bikin gemess.,bikin gemess.,"['bikin', 'gemess', '.']","[('bikin', 'gemess', '.')]"
@Sabranglayun,Tapi kok bisa jadi menteri ya?,tapi kok bisa jadi menteri ya?,"['tapi', 'kok', 'bisa', 'jadi', 'menteri', 'ya', '?']","[('tapi', 'kok', 'bisa'), ('kok', 'bisa', 'jadi'), ('bisa', 'jadi', 'menteri'), ('jadi', 'menteri', 'ya'), ('menteri', 'ya', '?')]"
@billyroykep1293,"Heran saya ....
BAHLUL kok di jadiin MENTERI ...
MENTERI ESDM lagi ...
Yang Aneh PRESIDEN nya atau yang MENGUSULKAN nya ....
😂😂😂😂","heran saya ....
bahlul kok di jadiin menteri ...
menteri esdm lagi ...
yang aneh presiden nya atau yang mengusulkan nya ....
😂😂😂😂","['heran', 'saya', '....', 'bahlul', 'kok', 'di', 'jadiin', 'menteri', '...', 'menteri', 'esdm', 'lagi', '...', 'yang', 'aneh', 'presiden', 'nya', 'atau', 'yang', 'mengusulkan', 'nya', '....', '😂😂😂😂']","[('heran', 'saya', '....'), ('saya', '....', 'bahlul'), ('....', 'bahlul', 'kok'), ('bahlul', 'kok', 'di'), ('kok', 'di', 'jadiin'), ('di', 'jadiin', 'menteri'), ('jadiin', 'menteri', '...'), ('menteri', '...', 'menteri'), ('...', 'menteri', 'esdm'), ('menteri', 'esdm', 'lagi'), ('esdm', 'lagi', '...'), ('lagi', '...', 'yang'), ('...', 'yang', 'aneh'), ('yang', 'aneh', 'presiden'), ('aneh', 'presiden', 'nya'), ('presiden', 'nya', 'atau'), ('nya', 'atau', 'yang'), ('atau', 'yang', 'mengusulkan'), ('yang', 'mengusulkan', 'nya'), ('mengusulkan', 'nya', '....'), ('nya', '....', '😂😂😂😂')]"
@iiskuswanto3949,emang itu manusia😂😂,emang itu manusia😂😂,"['emang', 'itu', 'manusia😂😂']","[('emang', 'itu', 'manusia😂😂')]"
@mbahkemo,NDASMU.... DIRUT PERTAMINA SELAMA INI DIKUASAI ALUMNI ITB ... ITB... ITB.....  TAPI GAK ADA GUNANYA !!!   GAK MAU BANGUN KILANG..... OOOOALAAAH ALUMNI ITB.....WUAHAHAHAHAAA,ndasmu.... dirut pertamina selama ini dikuasai alumni itb ... itb... itb.....  tapi gak ada gunanya !!!   gak mau bangun kilang..... ooooalaaah alumni itb.....wuahahahahaaa,"['ndasmu', '....', 'dirut', 'pertamina', 'selama', 'ini', 'dikuasai', 'alumni', 'itb', '...', 'itb', '...', 'itb', '.....', 'tapi', 'gak', 'ada', 'gunanya', '!', '!', '!', 'gak', 'mau', 'bangun', 'kilang', '.....', 'ooooalaaah', 'alumni', 'itb', '.....', 'wuahahahahaaa']","[('ndasmu', '....', 'dirut'), ('....', 'dirut', 'pertamina'), ('dirut', 'pertamina', 'selama'), ('pertamina', 'selama', 'ini'), ('selama', 'ini', 'dikuasai'), ('ini', 'dikuasai', 'alumni'), ('dikuasai', 'alumni', 'itb'), ('alumni', 'itb', '...'), ('itb', '...', 'itb'), ('...', 'itb', '...'), ('itb', '...', 'itb'), ('...', 'itb', '.....'), ('itb', '.....', 'tapi'), ('.....', 'tapi', 'gak'), ('tapi', 'gak', 'ada'), ('gak', 'ada', 'gunanya'), ('ada', 'gunanya', '!'), ('gunanya', '!', '!'), ('!', '!', '!'), ('!', '!', 'gak'), ('!', 'gak', 'mau'), ('gak', 'mau', 'bangun'), ('mau', 'bangun', 'kilang'), ('bangun', 'kilang', '.....'), ('kilang', '.....', 'ooooalaaah'), ('.....', 'ooooalaaah', 'alumni'), ('ooooalaaah', 'alumni', 'itb'), ('alumni', 'itb', '.....'), ('itb', '.....', 'wuahahahahaaa')]"
@mbahkemo,PAK ALOYSIUS.... BU NICKE... BU KAREN.... PAK ELIA MANIK... PAK BAIHAKI... ITU SEMUA ITB LHOOO    TAPI GAK BECUUUSSS..... HUAHAHAHAHAAA,pak aloysius.... bu nicke... bu karen.... pak elia manik... pak baihaki... itu semua itb lhooo    tapi gak becuuusss..... huahahahahaaa,"['pak', 'aloysius', '....', 'bu', 'nicke', '...', 'bu', 'karen', '....', 'pak', 'elia', 'manik', '...', 'pak', 'baihaki', '...', 'itu', 'semua', 'itb', 'lhooo', 'tapi', 'gak', 'becuuusss', '.....', 'huahahahahaaa']","[('pak', 'aloysius', '....'), ('aloysius', '....', 'bu'), ('....', 'bu', 'nicke'), ('bu', 'nicke', '...'), ('nicke', '...', 'bu'), ('...', 'bu', 'karen'), ('bu', 'karen', '....'), ('karen', '....', 'pak'), ('....', 'pak', 'elia'), ('pak', 'elia', 'manik'), ('elia', 'manik', '...'), ('manik', '...', 'pak'), ('...', 'pak', 'baihaki'), ('pak', 'baihaki', '...'), ('baihaki', '...', 'itu'), ('...', 'itu', 'semua'), ('itu', 'semua', 'itb'), ('semua', 'itb', 'lhooo'), ('itb', 'lhooo', 'tapi'), ('lhooo', 'tapi', 'gak'), ('tapi', 'gak', 'becuuusss'), ('gak', 'becuuusss', '.....'), ('becuuusss', '.....', 'huahahahahaaa')]"
@pecasndahe0368,Asal ngomong.. Pertamina isinya juga banyak ITB..  Intinya kalo gak impor gak ada cuannya...,asal ngomong.. pertamina isinya juga banyak itb..  intinya kalo gak impor gak ada cuannya...,"['asal', 'ngomong', '..', 'pertamina', 'isinya', 'juga', 'banyak', 'itb', '..', 'intinya', 'kalo', 'gak', 'impor', 'gak', 'ada', 'cuannya', '...']","[('asal', 'ngomong', '..'), ('ngomong', '..', 'pertamina'), ('..', 'pertamina', 'isinya'), ('pertamina', 'isinya', 'juga'), ('isinya', 'juga', 'banyak'), ('juga', 'banyak', 'itb'), ('banyak', 'itb', '..'), ('itb', '..', 'intinya'), ('..', 'intinya', 'kalo'), ('intinya', 'kalo', 'gak'), ('kalo', 'gak', 'impor'), ('gak', 'impor', 'gak'), ('impor', 'gak', 'ada'), ('gak', 'ada', 'cuannya'), ('ada', 'cuannya', '...')]"
@fadliramadhan682,"jebolan yg gk ad kampusnya, sama seperti junjungan ny si presiden sbelum nya","jebolan yg gk ad kampusnya, sama seperti junjungan ny si presiden sbelum nya","['jebolan', 'yg', 'gk', 'ad', 'kampusnya', ',', 'sama', 'seperti', 'junjungan', 'ny', 'si', 'presiden', 'sbelum', 'nya']","[('jebolan', 'yg', 'gk'), ('yg', 'gk', 'ad'), ('gk', 'ad', 'kampusnya'), ('ad', 'kampusnya', ','), ('kampusnya', ',', 'sama'), (',', 'sama', 'seperti'), ('sama', 'seperti', 'junjungan'), ('seperti', 'junjungan', 'ny'), ('junjungan', 'ny', 'si'), ('ny', 'si', 'presiden'), ('si', 'presiden', 'sbelum'), ('presiden', 'sbelum', 'nya')]"
@fadliramadhan682,"​ @mbahkemo inti nya d era sby pertamina untung, 

dan d era muldongo pertamina merugi dah gitu oplosan pula. 

d era prabowo pertamina ketauan oplosan, smoga pertamina tidak merugi","​ @mbahkemo inti nya d era sby pertamina untung, 

dan d era muldongo pertamina merugi dah gitu oplosan pula. 

d era prabowo pertamina ketauan oplosan, smoga pertamina tidak merugi","['\u200b', '@', 'mbahkemo', 'inti', 'nya', 'd', 'era', 'sby', 'pertamina', 'untung', ',', 'dan', 'd', 'era', 'muldongo', 'pertamina', 'merugi', 'dah', 'gitu', 'oplosan', 'pula', '.', 'd', 'era', 'prabowo', 'pertamina', 'ketauan', 'oplosan', ',', 'smoga', 'pertamina', 'tidak', 'merugi']","[('\u200b', '@', 'mbahkemo'), ('@', 'mbahkemo', 'inti'), ('mbahkemo', 'inti', 'nya'), ('inti', 'nya', 'd'), ('nya', 'd', 'era'), ('d', 'era', 'sby'), ('era', 'sby', 'pertamina'), ('sby', 'pertamina', 'untung'), ('pertamina', 'untung', ','), ('untung', ',', 'dan'), (',', 'dan', 'd'), ('dan', 'd', 'era'), ('d', 'era', 'muldongo'), ('era', 'muldongo', 'pertamina'), ('muldongo', 'pertamina', 'merugi'), ('pertamina', 'merugi', 'dah'), ('merugi', 'dah', 'gitu'), ('dah', 'gitu', 'oplosan'), ('gitu', 'oplosan', 'pula'), ('oplosan', 'pula', '.'), ('pula', '.', 'd'), ('.', 'd', 'era'), ('d', 'era', 'prabowo'), ('era', 'prabowo', 'pertamina'), ('prabowo', 'pertamina', 'ketauan'), ('pertamina', 'ketauan', 'oplosan'), ('ketauan', 'oplosan', ','), ('oplosan', ',', 'smoga'), (',', 'smoga', 'pertamina'), ('smoga', 'pertamina', 'tidak'), ('pertamina', 'tidak', 'merugi')]"
@jj-tc5if,Bahli mantn supir angkot😂😂😂,bahli mantn supir angkot😂😂😂,"['bahli', 'mantn', 'supir', 'angkot😂😂😂']","[('bahli', 'mantn', 'supir'), ('mantn', 'supir', 'angkot😂😂😂')]"
@YoungMan-fe7qz,Itu Mentri mu ESDM.. kampus' nya ndak jelas 😅😅😅,itu mentri mu esdm.. kampus' nya ndak jelas 😅😅😅,"['itu', 'mentri', 'mu', 'esdm', '..', 'kampus', ""'"", 'nya', 'ndak', 'jelas', '😅😅😅']","[('itu', 'mentri', 'mu'), ('mentri', 'mu', 'esdm'), ('mu', 'esdm', '..'), ('esdm', '..', 'kampus'), ('..', 'kampus', ""'""), ('kampus', ""'"", 'nya'), (""'"", 'nya', 'ndak'), ('nya', 'ndak', 'jelas'), ('ndak', 'jelas', '😅😅😅')]"
@ikanghandil, @fadliramadhan682 Bru kluar dr semedi di hutan bro?, @fadliramadhan682 bru kluar dr semedi di hutan bro?,"['@', 'fadliramadhan682', 'bru', 'kluar', 'dr', 'semedi', 'di', 'hutan', 'bro', '?']","[('@', 'fadliramadhan682', 'bru'), ('fadliramadhan682', 'bru', 'kluar'), ('bru', 'kluar', 'dr'), ('kluar', 'dr', 'semedi'), ('dr', 'semedi', 'di'), ('semedi', 'di', 'hutan'), ('di', 'hutan', 'bro'), ('hutan', 'bro', '?')]"
@johanessuryanata1544,"Kan dah S3 dari UI, ceunah","kan dah s3 dari ui, ceunah","['kan', 'dah', 's3', 'dari', 'ui', ',', 'ceunah']","[('kan', 'dah', 's3'), ('dah', 's3', 'dari'), ('s3', 'dari', 'ui'), ('dari', 'ui', ','), ('ui', ',', 'ceunah')]"
@dutaupil,Donggok,donggok,['donggok'],[]
@channelbaruku-x3b,Jebolan klo males ya mles aja klo dh di kipas2 dwit 😂😂😂 gtulah,jebolan klo males ya mles aja klo dh di kipas2 dwit 😂😂😂 gtulah,"['jebolan', 'klo', 'males', 'ya', 'mles', 'aja', 'klo', 'dh', 'di', 'kipas2', 'dwit', '😂😂😂', 'gtulah']","[('jebolan', 'klo', 'males'), ('klo', 'males', 'ya'), ('males', 'ya', 'mles'), ('ya', 'mles', 'aja'), ('mles', 'aja', 'klo'), ('aja', 'klo', 'dh'), ('klo', 'dh', 'di'), ('dh', 'di', 'kipas2'), ('di', 'kipas2', 'dwit'), ('kipas2', 'dwit', '😂😂😂'), ('dwit', '😂😂😂', 'gtulah')]"
@bintangadhwa7969,"sini dek..maen k sini...di tempat saya ada BUMN Pabrik Baja, petingginya langganan dari ITB...rugi mulu jarang dapet untung katanya....d subsidi negara mulu...itu dari jaman gw kecil sampe gw punya anak 3 masih bgtu aja...skrg ada perusahaan baja korea satu area ama tuh ama BUMN, baru operasi dari 2014 kyknya profitnya bagus2 aja(blom pernah denger ada PHK masal), sbagus2nya Kampus.. sepintar2nya akademik orang, klo masuk Plat merah jadi goblokk..klo gak ikutan goblok minimal jadi introvert lha di kantornya, sok dah cek ke lapangan klo gak percaya🤣🤣","sini dek..maen k sini...di tempat saya ada bumn pabrik baja, petingginya langganan dari itb...rugi mulu jarang dapet untung katanya....d subsidi negara mulu...itu dari jaman gw kecil sampe gw punya anak 3 masih bgtu aja...skrg ada perusahaan baja korea satu area ama tuh ama bumn, baru operasi dari 2014 kyknya profitnya bagus2 aja(blom pernah denger ada phk masal), sbagus2nya kampus.. sepintar2nya akademik orang, klo masuk plat merah jadi goblokk..klo gak ikutan goblok minimal jadi introvert lha di kantornya, sok dah cek ke lapangan klo gak percaya🤣🤣","['sini', 'dek', '..', 'maen', 'k', 'sini', '...', 'di', 'tempat', 'saya', 'ada', 'bumn', 'pabrik', 'baja', ',', 'petingginya', 'langganan', 'dari', 'itb', '...', 'rugi', 'mulu', 'jarang', 'dapet', 'untung', 'katanya', '....', 'd', 'subsidi', 'negara', 'mulu', '...', 'itu', 'dari', 'jaman', 'gw', 'kecil', 'sampe', 'gw', 'punya', 'anak', '3', 'masih', 'bgtu', 'aja', '...', 'skrg', 'ada', 'perusahaan', 'baja', 'korea', 'satu', 'area', 'ama', 'tuh', 'ama', 'bumn', ',', 'baru', 'operasi', 'dari', '2014', 'kyknya', 'profitnya', 'bagus2', 'aja', '(', 'blom', 'pernah', 'denger', 'ada', 'phk', 'masal', ')', ',', 'sbagus2nya', 'kampus', '..', 'sepintar2nya', 'akademik', 'orang', ',', 'klo', 'masuk', 'plat', 'merah', 'jadi', 'goblokk', '..', 'klo', 'gak', 'ikutan', 'goblok', 'minimal', 'jadi', 'introvert', 'lha', 'di', 'kantornya', ',', 'sok', 'dah', 'cek', 'ke', 'lapangan', 'klo', 'gak', 'percaya🤣🤣']","[('sini', 'dek', '..'), ('dek', '..', 'maen'), ('..', 'maen', 'k'), ('maen', 'k', 'sini'), ('k', 'sini', '...'), ('sini', '...', 'di'), ('...', 'di', 'tempat'), ('di', 'tempat', 'saya'), ('tempat', 'saya', 'ada'), ('saya', 'ada', 'bumn'), ('ada', 'bumn', 'pabrik'), ('bumn', 'pabrik', 'baja'), ('pabrik', 'baja', ','), ('baja', ',', 'petingginya'), (',', 'petingginya', 'langganan'), ('petingginya', 'langganan', 'dari'), ('langganan', 'dari', 'itb'), ('dari', 'itb', '...'), ('itb', '...', 'rugi'), ('...', 'rugi', 'mulu'), ('rugi', 'mulu', 'jarang'), ('mulu', 'jarang', 'dapet'), ('jarang', 'dapet', 'untung'), ('dapet', 'untung', 'katanya'), ('untung', 'katanya', '....'), ('katanya', '....', 'd'), ('....', 'd', 'subsidi'), ('d', 'subsidi', 'negara'), ('subsidi', 'negara', 'mulu'), ('negara', 'mulu', '...'), ('mulu', '...', 'itu'), ('...', 'itu', 'dari'), ('itu', 'dari', 'jaman'), ('dari', 'jaman', 'gw'), ('jaman', 'gw', 'kecil'), ('gw', 'kecil', 'sampe'), ('kecil', 'sampe', 'gw'), ('sampe', 'gw', 'punya'), ('gw', 'punya', 'anak'), ('punya', 'anak', '3'), ('anak', '3', 'masih'), ('3', 'masih', 'bgtu'), ('masih', 'bgtu', 'aja'), ('bgtu', 'aja', '...'), ('aja', '...', 'skrg'), ('...', 'skrg', 'ada'), ('skrg', 'ada', 'perusahaan'), ('ada', 'perusahaan', 'baja'), ('perusahaan', 'baja', 'korea'), ('baja', 'korea', 'satu'), ('korea', 'satu', 'area'), ('satu', 'area', 'ama'), ('area', 'ama', 'tuh'), ('ama', 'tuh', 'ama'), ('tuh', 'ama', 'bumn'), ('ama', 'bumn', ','), ('bumn', ',', 'baru'), (',', 'baru', 'operasi'), ('baru', 'operasi', 'dari'), ('operasi', 'dari', '2014'), ('dari', '2014', 'kyknya'), ('2014', 'kyknya', 'profitnya'), ('kyknya', 'profitnya', 'bagus2'), ('profitnya', 'bagus2', 'aja'), ('bagus2', 'aja', '('), ('aja', '(', 'blom'), ('(', 'blom', 'pernah'), ('blom', 'pernah', 'denger'), ('pernah', 'denger', 'ada'), ('denger', 'ada', 'phk'), ('ada', 'phk', 'masal'), ('phk', 'masal', ')'), ('masal', ')', ','), (')', ',', 'sbagus2nya'), (',', 'sbagus2nya', 'kampus'), ('sbagus2nya', 'kampus', '..'), ('kampus', '..', 'sepintar2nya'), ('..', 'sepintar2nya', 'akademik'), ('sepintar2nya', 'akademik', 'orang'), ('akademik', 'orang', ','), ('orang', ',', 'klo'), (',', 'klo', 'masuk'), ('klo', 'masuk', 'plat'), ('masuk', 'plat', 'merah'), ('plat', 'merah', 'jadi'), ('merah', 'jadi', 'goblokk'), ('jadi', 'goblokk', '..'), ('goblokk', '..', 'klo'), ('..', 'klo', 'gak'), ('klo', 'gak', 'ikutan'), ('gak', 'ikutan', 'goblok'), ('ikutan', 'goblok', 'minimal'), ('goblok', 'minimal', 'jadi'), ('minimal', 'jadi', 'introvert'), ('jadi', 'introvert', 'lha'), ('introvert', 'lha', 'di'), ('lha', 'di', 'kantornya'), ('di', 'kantornya', ','), ('kantornya', ',', 'sok'), (',', 'sok', 'dah'), ('sok', 'dah', 'cek'), ('dah', 'cek', 'ke'), ('cek', 'ke', 'lapangan'), ('ke', 'lapangan', 'klo'), ('lapangan', 'klo', 'gak'), ('klo', 'gak', 'percaya🤣🤣')]"
@xxatya,Endonesa pinter dikit bakar kilang. Lulusan ptn pinter nilep,endonesa pinter dikit bakar kilang. lulusan ptn pinter nilep,"['endonesa', 'pinter', 'dikit', 'bakar', 'kilang', '.', 'lulusan', 'ptn', 'pinter', 'nilep']","[('endonesa', 'pinter', 'dikit'), ('pinter', 'dikit', 'bakar'), ('dikit', 'bakar', 'kilang'), ('bakar', 'kilang', '.'), ('kilang', '.', 'lulusan'), ('.', 'lulusan', 'ptn'), ('lulusan', 'ptn', 'pinter'), ('ptn', 'pinter', 'nilep')]"
@xxatya,"​ @jj-tc5if mustahil, gak keliatan kalu duduk di kursi pengemudi","​ @jj-tc5if mustahil, gak keliatan kalu duduk di kursi pengemudi","['\u200b', '@', 'jj-tc5if', 'mustahil', ',', 'gak', 'keliatan', 'kalu', 'duduk', 'di', 'kursi', 'pengemudi']","[('\u200b', '@', 'jj-tc5if'), ('@', 'jj-tc5if', 'mustahil'), ('jj-tc5if', 'mustahil', ','), ('mustahil', ',', 'gak'), (',', 'gak', 'keliatan'), ('gak', 'keliatan', 'kalu'), ('keliatan', 'kalu', 'duduk'), ('kalu', 'duduk', 'di'), ('duduk', 'di', 'kursi'), ('di', 'kursi', 'pengemudi')]"
@NavnavHasna,"​ @jj-tc5if prajogo pangestu juga mantan supir angkot bang, wkwkwk","​ @jj-tc5if prajogo pangestu juga mantan supir angkot bang, wkwkwk","['\u200b', '@', 'jj-tc5if', 'prajogo', 'pangestu', 'juga', 'mantan', 'supir', 'angkot', 'bang', ',', 'wkwkwk']","[('\u200b', '@', 'jj-tc5if'), ('@', 'jj-tc5if', 'prajogo'), ('jj-tc5if', 'prajogo', 'pangestu'), ('prajogo', 'pangestu', 'juga'), ('pangestu', 'juga', 'mantan'), ('juga', 'mantan', 'supir'), ('mantan', 'supir', 'angkot'), ('supir', 'angkot', 'bang'), ('angkot', 'bang', ','), ('bang', ',', 'wkwkwk')]"
@linduwow5595,Apa urusannya dengan Alumni,apa urusannya dengan alumni,"['apa', 'urusannya', 'dengan', 'alumni']","[('apa', 'urusannya', 'dengan'), ('urusannya', 'dengan', 'alumni')]"
@faridaastuti9830,😅,😅,['😅'],[]
@fadliramadhan682,"klo ada apa"" sama pak menkeu, rakyat harus kompak.

 jgn terpengaruh sama org"" sana yg ingin menjatuhkan.","klo ada apa"" sama pak menkeu, rakyat harus kompak.

 jgn terpengaruh sama org"" sana yg ingin menjatuhkan.","['klo', 'ada', 'apa', ""''"", 'sama', 'pak', 'menkeu', ',', 'rakyat', 'harus', 'kompak', '.', 'jgn', 'terpengaruh', 'sama', 'org', ""''"", 'sana', 'yg', 'ingin', 'menjatuhkan', '.']","[('klo', 'ada', 'apa'), ('ada', 'apa', ""''""), ('apa', ""''"", 'sama'), (""''"", 'sama', 'pak'), ('sama', 'pak', 'menkeu'), ('pak', 'menkeu', ','), ('menkeu', ',', 'rakyat'), (',', 'rakyat', 'harus'), ('rakyat', 'harus', 'kompak'), ('harus', 'kompak', '.'), ('kompak', '.', 'jgn'), ('.', 'jgn', 'terpengaruh'), ('jgn', 'terpengaruh', 'sama'), ('terpengaruh', 'sama', 'org'), ('sama', 'org', ""''""), ('org', ""''"", 'sana'), (""''"", 'sana', 'yg'), ('sana', 'yg', 'ingin'), ('yg', 'ingin', 'menjatuhkan'), ('ingin', 'menjatuhkan', '.')]"
@wiraridwan9819,Real gelap ini mah si hama ireng😂,real gelap ini mah si hama ireng😂,"['real', 'gelap', 'ini', 'mah', 'si', 'hama', 'ireng😂']","[('real', 'gelap', 'ini'), ('gelap', 'ini', 'mah'), ('ini', 'mah', 'si'), ('mah', 'si', 'hama'), ('si', 'hama', 'ireng😂')]"
@firman_mustaqim,Bahlil kan memang gelap😅,bahlil kan memang gelap😅,"['bahlil', 'kan', 'memang', 'gelap😅']","[('bahlil', 'kan', 'memang'), ('kan', 'memang', 'gelap😅')]"
@kurniawan_awn,​ @firman_mustaqim  gelap semuanya tu bahlil,​ @firman_mustaqim  gelap semuanya tu bahlil,"['\u200b', '@', 'firman_mustaqim', 'gelap', 'semuanya', 'tu', 'bahlil']","[('\u200b', '@', 'firman_mustaqim'), ('@', 'firman_mustaqim', 'gelap'), ('firman_mustaqim', 'gelap', 'semuanya'), ('gelap', 'semuanya', 'tu'), ('semuanya', 'tu', 'bahlil')]"
@Aaaa1-71,ya karena dpr pun ga suka pak purbaya berarti orang jujur banyak yg ingin menjatuhkan,ya karena dpr pun ga suka pak purbaya berarti orang jujur banyak yg ingin menjatuhkan,"['ya', 'karena', 'dpr', 'pun', 'ga', 'suka', 'pak', 'purbaya', 'berarti', 'orang', 'jujur', 'banyak', 'yg', 'ingin', 'menjatuhkan']","[('ya', 'karena', 'dpr'), ('karena', 'dpr', 'pun'), ('dpr', 'pun', 'ga'), ('pun', 'ga', 'suka'), ('ga', 'suka', 'pak'), ('suka', 'pak', 'purbaya'), ('pak', 'purbaya', 'berarti'), ('purbaya', 'berarti', 'orang'), ('berarti', 'orang', 'jujur'), ('orang', 'jujur', 'banyak'), ('jujur', 'banyak', 'yg'), ('banyak', 'yg', 'ingin'), ('yg', 'ingin', 'menjatuhkan')]"
@coffeelover5827,"Jangan kasih kendor sri mul, dia udah mencekik puluhan tahun. Pajakin lagi rumah nya","jangan kasih kendor sri mul, dia udah mencekik puluhan tahun. pajakin lagi rumah nya","['jangan', 'kasih', 'kendor', 'sri', 'mul', ',', 'dia', 'udah', 'mencekik', 'puluhan', 'tahun', '.', 'pajakin', 'lagi', 'rumah', 'nya']","[('jangan', 'kasih', 'kendor'), ('kasih', 'kendor', 'sri'), ('kendor', 'sri', 'mul'), ('sri', 'mul', ','), ('mul', ',', 'dia'), (',', 'dia', 'udah'), ('dia', 'udah', 'mencekik'), ('udah', 'mencekik', 'puluhan'), ('mencekik', 'puluhan', 'tahun'), ('puluhan', 'tahun', '.'), ('tahun', '.', 'pajakin'), ('.', 'pajakin', 'lagi'), ('pajakin', 'lagi', 'rumah'), ('lagi', 'rumah', 'nya')]"
@asalngevlog-f4w,Semua ada masanya..jngn langsung dibandingkan kerja 10 tahun dengan kerja yg masih 10 hari.,semua ada masanya..jngn langsung dibandingkan kerja 10 tahun dengan kerja yg masih 10 hari.,"['semua', 'ada', 'masanya', '..', 'jngn', 'langsung', 'dibandingkan', 'kerja', '10', 'tahun', 'dengan', 'kerja', 'yg', 'masih', '10', 'hari', '.']","[('semua', 'ada', 'masanya'), ('ada', 'masanya', '..'), ('masanya', '..', 'jngn'), ('..', 'jngn', 'langsung'), ('jngn', 'langsung', 'dibandingkan'), ('langsung', 'dibandingkan', 'kerja'), ('dibandingkan', 'kerja', '10'), ('kerja', '10', 'tahun'), ('10', 'tahun', 'dengan'), ('tahun', 'dengan', 'kerja'), ('dengan', 'kerja', 'yg'), ('kerja', 'yg', 'masih'), ('yg', 'masih', '10'), ('masih', '10', 'hari'), ('10', 'hari', '.')]"
@Itsmeeyouyun,GELLLLAAPPPP😂 SEKKKKKKALLLLLLLIIIIIII😅,gellllaapppp😂 sekkkkkkallllllliiiiiii😅,"['gellllaapppp😂', 'sekkkkkkallllllliiiiiii😅']",[]
