author,comment
@andreiyusuffahlifi1916,Ibarat anda minta ketua partai demokrat amirika ganti jabatan
@noworries-g4b,"​ @pekerjasangatkeras  bagus juga. Tapi ya terserah pak prabowo, dia lebih tau yg potensial naik."
@randommandom604,Ga bisa diganti sepertinya. Mungkin ada alasan khusus.
@GoalTerus,Nepalkan
@makbarr1976,"Mana berani prabs ganti Bahlil, dia ketum Golkar 😂. Gonjang ganjing kabinet Prabowo kalau ketum Golkar di resuffle"
@SaptaMuhammad-p9m,"d perusak hutan ,mngijikan tambang d rajaemat Papua ....knp kok d izinkan tambang d situ ,limbah pasti MNGHNCURKAN biota laut"
@wendellkwang3724,demo lagi lah!!!
@zaganovyildirim12,Kelamaan cok nunggu 2029. Mending geruduk partainya aja biar bahlil di copot jdi ketua. Kalau semua rakyat kompak untuk turun maka parpol juga auto ga bisa seenaknya lagi. Dan jangan lupa untuk jaga menkeu kalau butuh mah kita nongkrong di kemenkeu untuk jaga purbaya karena ini orang independen bukan dri parpol maka pastinya akan ada ancaman di bunuh karena sudah banyak mengusik elit global.
@Capibara7834,Bugilin aja biar tinggal pake sempac...tinggal Seret  Ke Sungai
@Siomey88,​ @GoalTerus aku itu ngefans bangat ama mbak Eno
@ilhamnuansa9382,yang paling bener buang aja semua menteri jokowi
@Ainur-k6b,Menteri goblin
@Siomey88,​ @Ainur-k6b nyemontet nyulpit nyulpit😢
@Sarip1208-b2m,Pecat aja itu p Bahlil tidak ada gunanya di Indonesia
@mustwin5504,Bpk presiden tahu siapa menteri baik siapa menteri jahat...yg rakyat tdk tahu bpk presiden berada di pihak mana
@sandi-wj2oh,Siap saya pun ikut ga bkln lgi pilih golkar klo ada kluargaku yg pilih golkarberani kelahi aku
@MounaRudo-t9l,"Pak Prabowo Kayak nya sulit menurunkan Bahlil , karna mantan istri ada digolkar ..😅
Kita sebagai Rakyat hanya dibodohi orang2 Partai politik 😅"
@hansmusik8963,"Bisa di ganti, cm harus ngambil dari Golkar lagi gantinya."
@adeharapan7922,Nepal aja bisa
@faridaastuti9830,"Pdhl bnyaak  lbh competent, dr ITB dll. Coba cari yg ex direktur oil & mining corp. Posisi mentri  kan hrs yg benar2 skillfull & expert dan jng malu2 in."
@3gp25,Rumah nya kudu di nepalkan dulu baru di ganti. Presiden dari beberapa bulan lalu dah kasih kode. Tapi masyarakat gak ada yang sadar.
@mas2_original,"Beratt, ini soal politik, 
Musti pelan2 mainya.

Purbaya ini ada untuk coba gempur mereka pelan2"
@mas2_original,"​ @noworries-g4b bro, ini politik. Ngga semudah itu. Butuh proses"
@mas2_original,"​ @randommandom604  berat, ini politik. 
Biar pak purbaya yg goyang"
@TaufikHidayat-ch4dg,"Kan sudah di gugat warga bahlil cuman ga datang, pengecut"
@rfprokawan,Gas.. rakyat siap bersatu membangun kualitas SDM dan ESDM Indonesia
@ramsessimamora2444,"Biar ketum partai kalau nda becus presiden nda perlu kuatir resafel saja,rakyat siap"
@roromera7685,"Menteri Keuangan bguz itu Kilang dibikin jd G import minyak , biasanya Negara Klo slalu Import takutnya keadaan Genting misalnya minyak udh mnipis klo yg Negara Eksport Minyak Ny g mau Jual gymna , klo bikin sndiri Kilang kan enak persediaan Minyak klo misalnya Keadaan Genting, Perang atau gymna jd udh ada Persediaan, Mf ne PeramaL Gumay kata bilang nnti Indonesia bakal Perang sama Australia biasa ny ramalan Gumay bner😮"
@Ediwaelah-r6e,Percuma... kuncinya di presiden kalo presiden nya melempem.... wasalam
@inisialW00,​ @Ediwaelah-r6e iya kalo presiden nya abah atau genjer ya pasti mlempem dari kemaren ga ada kasus terbongkar wkwk
@haysnairte4," @inisialW00  percuma berandai andai, yg udah jalan dua periode aja jelas fakta"
@prakasarevo5435,"Bahaya malah purbaya, baru naik langsung mo by one ma kesayangan geng"
@Serang775,​ @roromera7685 jirrrrrrr percaya ma DUKUN😂😂
@sasongko5769,HIDOP PURAYAaa
@roromera7685,​ @Serang775  Bro kata PeramaL Gumay THN 2037 klo g salah Indonesia perang sama Australia
@juripenilaian3630,PERTAMINA LADANG KORUUUPPPP
@MantanbociL_epep-h5d,"Kalau ada barisan pengaman pribadi menkeu, saya siap. Kita kawal pak pur dimana pun berada"
@Pattinson1004,​ @MantanbociL_epep-h5d lgi nganggur bang ya?
@StayOnHalal,"Maaf ka, itu penulisan nama Tuhan Allah SWT pake huruf besar ya😊"
@tommyaditya5968,"​ @Pattinson1004 😅😅 g gtu bang, takut ny bnyk yg mau menjatuhkan beliao,"
@SariatieA-mm5fi,Iya..se7.org kaya Bahlil TDK bisa di Percaya...org nya suka kong kalingkong.
@wayyoffyouyuo868,Btw harta bahllil nyampe 300 miliar yg ketahuan
@HadriannorNor,Pecat si bahlil buat beban kakyat kebijakan nya
@wayyoffyouyuo868,​ @HadriannorNor kenapa waktu kerusuhan dia aman ya padahal jelas harta dia gak wajar dia ( Bahlil) mantan ojol yg jadi relawan projo
@Ylin2018,Lada Hitam Emang Pedas 😅
@fandiresava,Tinggal nunggu waktu atau giliran 😅
@ekaindrayana2656,"Cepat2 lah di ganti manusia bahlil ini,. merugikan se bangsa ini."
@maizierbarid,sapa bilang bahlil itu manusia
@hasansugibit182,Minta dinepalkan tuh goblin
@sardihidayat3712,Grudukk aja mending biar mundur nih orang
@AhoAho-m4z8b,​ @hasansugibit182  😂😂 eh bener juga mirip goblin ya kalau dilihat2 😂yang bisa
@NurulAminatur,Q lebih percaya Dan lebih cinta nabi solo sih😂
@ShalahudinAlAyubiZLA,Awokawok Sebel ya bisnisnya di usik😂😂😂😂
@diancilok1794,"1 pertanyaan 
Bahlil apa jenis manusia ??"
@roromera7685,"Indonesia mah kbnykan Mafia y 😭😭 sedihh Negara bnyk Mafia ... di Thailand pnya Persediaan kilang keren Gede klo Keadaan mendesak , atau Genting udh tenang, Indonesia nunggu import dulu , Pejabat Indonesia ga mikirin keadaan Negara kedepannya"
@kingpinix.124,bahlil mirip kingkong
@Caslonbtc,"​ @wayyoffyouyuo868  cuma 300m, yang nggak ketahuan pasti puluhan triliun"
@yuhdiananto8589,"Banyak yang bilang goblin bang
Bukan manusia"
@HmmpssAh-c5n,emng bahlil itu manusia? baru tau saya
@Nail-u5u,Goblin emang gitu kelakuannya
@dodyrainst4871,"Rame"" tegas resuffle bahlil"
@robertttt7605,Goblin tambang BAHLULLL
@muhaiminsobirin,​ @wayyoffyouyuo868 itu tabungan kali
@soundbomber3420,"​ @Ylin2018 macam cabe rawit,,,kecil tpi pedas...."
@IvanAdelya,Belilin rantai...iket di pohon pisang...aja.
@erinnberlina4712,"Sebaiknya dipecat saja orang orang pintar sudah tidak ada yang percaya tidak bisa dibodohi masih banyak orang orang pintar yang akan bekerja, harga dirinya derajatnya lebih tinggi tidak mempermalukan dirinya sendiri dan orang tuanya yang mendidik agar pintar"
@erinnberlina4712,"​ @wayyoffyouyuo868 harus diusut tuntas seluruh rakyat tau gaji pekerja rakyat perbulannya berapa jika melebihi harus di usut, orang orang pintar tidak mudah dibodohi"
@mrartdeco,muka ky goblin kelakuan ky goblin. Gila juga bisa gitu
@hendrichairil667,goblin bang gobblinnn itu bahlil goblin
@MongkydLuffy-g6o3j,Goblin m memang😂 anj
@marine06,Doktor yg gelarnya dicabut.
@rmulyadinata1846,oknum mafia migas kok malah dijadikan menteri ESDM.. Gimana ini pak pres 😂
@PecintaTobrut-s3t7u,Bikin gemess.
@Sabranglayun,Tapi kok bisa jadi menteri ya?
@billyroykep1293,"Heran saya ....
BAHLUL kok di jadiin MENTERI ...
MENTERI ESDM lagi ...
Yang Aneh PRESIDEN nya atau yang MENGUSULKAN nya ....
😂😂😂😂"
@iiskuswanto3949,emang itu manusia😂😂
@mbahkemo,NDASMU.... DIRUT PERTAMINA SELAMA INI DIKUASAI ALUMNI ITB ... ITB... ITB.....  TAPI GAK ADA GUNANYA !!!   GAK MAU BANGUN KILANG..... OOOOALAAAH ALUMNI ITB.....WUAHAHAHAHAAA
@mbahkemo,PAK ALOYSIUS.... BU NICKE... BU KAREN.... PAK ELIA MANIK... PAK BAIHAKI... ITU SEMUA ITB LHOOO    TAPI GAK BECUUUSSS..... HUAHAHAHAHAAA
@pecasndahe0368,Asal ngomong.. Pertamina isinya juga banyak ITB..  Intinya kalo gak impor gak ada cuannya...
@fadliramadhan682,"jebolan yg gk ad kampusnya, sama seperti junjungan ny si presiden sbelum nya"
@fadliramadhan682,"​ @mbahkemo inti nya d era sby pertamina untung, 

dan d era muldongo pertamina merugi dah gitu oplosan pula. 

d era prabowo pertamina ketauan oplosan, smoga pertamina tidak merugi"
@jj-tc5if,Bahli mantn supir angkot😂😂😂
@YoungMan-fe7qz,Itu Mentri mu ESDM.. kampus' nya ndak jelas 😅😅😅
@ikanghandil, @fadliramadhan682 Bru kluar dr semedi di hutan bro?
@johanessuryanata1544,"Kan dah S3 dari UI, ceunah"
@dutaupil,Donggok
@channelbaruku-x3b,Jebolan klo males ya mles aja klo dh di kipas2 dwit 😂😂😂 gtulah
@bintangadhwa7969,"sini dek..maen k sini...di tempat saya ada BUMN Pabrik Baja, petingginya langganan dari ITB...rugi mulu jarang dapet untung katanya....d subsidi negara mulu...itu dari jaman gw kecil sampe gw punya anak 3 masih bgtu aja...skrg ada perusahaan baja korea satu area ama tuh ama BUMN, baru operasi dari 2014 kyknya profitnya bagus2 aja(blom pernah denger ada PHK masal), sbagus2nya Kampus.. sepintar2nya akademik orang, klo masuk Plat merah jadi goblokk..klo gak ikutan goblok minimal jadi introvert lha di kantornya, sok dah cek ke lapangan klo gak percaya🤣🤣"
@xxatya,Endonesa pinter dikit bakar kilang. Lulusan ptn pinter nilep
@xxatya,"​ @jj-tc5if mustahil, gak keliatan kalu duduk di kursi pengemudi"
@NavnavHasna,"​ @jj-tc5if prajogo pangestu juga mantan supir angkot bang, wkwkwk"
@linduwow5595,Apa urusannya dengan Alumni
@faridaastuti9830,😅
@fadliramadhan682,"klo ada apa"" sama pak menkeu, rakyat harus kompak.

 jgn terpengaruh sama org"" sana yg ingin menjatuhkan."
@wiraridwan9819,Real gelap ini mah si hama ireng😂
@firman_mustaqim,Bahlil kan memang gelap😅
@kurniawan_awn,​ @firman_mustaqim  gelap semuanya tu bahlil
@Aaaa1-71,ya karena dpr pun ga suka pak purbaya berarti orang jujur banyak yg ingin menjatuhkan
@coffeelover5827,"Jangan kasih kendor sri mul, dia udah mencekik puluhan tahun. Pajakin lagi rumah nya"
@asalngevlog-f4w,Semua ada masanya..jngn langsung dibandingkan kerja 10 tahun dengan kerja yg masih 10 hari.
@Itsmeeyouyun,GELLLLAAPPPP😂 SEKKKKKKALLLLLLLIIIIIII😅
@yanzdayenz,Awal awal kalian demo 😂
@IrsanEdukasi,G rugi bayar pajak kalau dipakenya bener 🎉🎉🎉
@AgungNgurahWiguna,"Kalau menteri kalah, cair cair.. cair😂"
@kukrikaratan,Dana kilang udah kita bagi-bagi belikan tas kresek😂😂❤❤
@WiraAdiarsa,Sengaja TDK dibangun agar import tetap jalan itu agar komisi dari import banyak
@secondnightfrombehind,Kue dah dibagi😂 dah jadi teek😂😂😂
@Threehimovic,gasss💣
@Pattinson1004,"Baiklah, nanti sore akan kmi tangkap🙇🏻🙇🏻🙇🏻"
@ryanbidam9329,Betul!!!
@deniardiansyah8142,"Ok, bahlil di nepalkan"
@Serang775,NANTI SORE SAYA AKAN KE RUMAH BAHLIL Y ADIK2.SAYA KAN TANGKAP BAHLIL
@faiqulmuawin9991,​ @deniardiansyah8142 si goblin hrus di Nepal kan
@cordobaivank7623,Suruh pemadam aja yg tangkap 😂
@hansmusik8963,"Jangan sekarang blm balik modal, 
KPK Ngumpulin BB nya jg masih nanggung."
@JohnBone-sy1nn,Gila memang
@Oppoku-br3sc,Di indonesia ini pejabat nya banyak yg maling
@antonriswanto7774,Betul...Ukraina saja secara logika mungkin keuangan negara nya sedang tdk baik baik saja karena terus terusan perang. Tapi mereka mampu membangun kembali kilang minyak mereka. Masa Indonesia tak mampu.
@SumangsaUmang-s6k,Aidit Pertamina
@SumangsaUmang-s6k,"Emangnya Pertamina punya keluarga lu apa, ayo pak Mentri Keuangan, kalau macam macam dipecatin ajalah"
@PaengCerdas,Mentri baru pk prabowo. yang di sodorkan megawati  Purbaya emg cerdas bicaranya. Tpi belum kelihatan hasil nyata nya
@Rms0708,Wakakakakak.. Mr.omon omon mana berani sama goblin.. Kasus gas dll.. Diem aja😂😂😂😂
@apikeadilan,Kita dukung kebijakan kemenkeu yakin 👍 ada pejabat main main rakyat siap mengadili
@Leeam.092,​@SumangsaUmang-s6kkok aidit? 😅
@zainalabidin4961,"Bukannya Bahlil Mentri kepercayaan Prabowo 😂😂..
Soalnya masih di pertahankan dari zaman Jokowi sampe akrng..
Apa karena ini Mentri jago ngasilin duit"
@BadruzamanIbad,Mentri yg kompten vs mentri ketum partai presiden tinggal.pilih..
@mbahkemo, @Rms0708  SElama ini DIRUT PERTAMINA NGAPAIN AJA ???? Bu Nicke.. Bu Karen... pak Cip... komisaris utama Ahok.....   NGAPAIN AJA ?????????
@robertttt7605,Betul kebijakan keuangan anggaran masuk dan keluar di pegang oleh kemenkue jadi tidak ada yg berani dengan pak purbaya semua gerakan udah di pegang sama kemenkue
@ulum9150,​@SumangsaUmang-s6kaudit kali ah😅😅😅
@Dumbanddubbing,​ @mbahkemo benci make otak. Fungsi Ahok mengawasi. Di panggil KPK pun dia sudah berikan apa saja yg dia tau.
@totokistriarto3878,Kenapa menkeu sekarang lebih greget drpd yg kemarin ya wkk
@BayuPawitraTaslam,"Lah justru bahlil mentri kesayangan prabowo, lolos resufle berkali-kali 🤭"
@Pattinson1004,Pertamina PKI?​@SumangsaUmang-s6k
@ompung2023,​ @zainalabidin4961 Bahlil menteri prabowo laporannya ke mulyono. 😂😂😂
@avengersbc13production67,"​ @PaengCerdas uda ada 1 hasil nyatanya, Free Pajak untuk Gaji di Bawah 5jt kah kalau gak salah.. Lupa saya 😂"
@sadewaponsel-pr2uf,Sikat😊😊😊
@masqiron,Dari sini sudah kliatan siapa yang bermain
@zainalabidin4961,"​ @ompung2023 yang anehnya sudah tau rekam jejaknya amburadul buat kebijakan cabut pasang.. dan menyengsarakan rakyat..
Masih juga di pertahankan Prabowo..
Inilah ketegasan dan keberanian Prabowo diuji, berani ngga, mencopot mentri tak berguna walaupun dia pimpinan partai"
@alvionitalee1307,org pinterr  baik jujur  kalo masuk  kandang  istana  error  jg
@dowayigu1277,"ga kekurangan orabg pinte
cuma
kebanyakan orang BANGSD"
@lucasgavinsuwandhi1342,Tapi kalo bahlul sih kekurangan kepintaran dan hati nurani 😂
@kukrikaratan,"Istana mana dulu dan istana kapan?​😂😂😂 @alvionitalee1307 
Bukan istana sekarang❤"
@kukrikaratan,​ @dowayigu1277 😂😂😂setuju. Mereka sdh menjadi bang Sadly
@julianasitorus6589,"Bangun kilang tidak bisa, lebih mahalkah dibandingkan membangun IKN???"
@suryazen4388,orang pinter di pemerintahan jarang asal lu tau aja
@kukrikaratan,"Be​ @suryazen4388 beneran bro? Aslinya mereka juga bukan  orang pintar nihh😂😂😂😂
Ternyata oh ternyata... 
Pantesan..... 
Aku kira mereka canggih"
@tapeUliku,"Itulah Bahlil jebolan Golkar partai korup dari jaman orba
Over capacity itu artinya tidak impor lagi dan harga nya pasti turun
Masyarakat Indonesia sudah pintar bung!!! Gak usah buat statement yg menunjukkan kebodohan"
@veradiana5160,Setujuuuuuu  jangan percaya sama Bahlul ya😅
@smilingdrummer245,Pak Purbaya PhD dari rruuaaar negeri... Om Bahlil gagal jadi doktor di UI 😅😅 Jadi siapa yang layak dipercaya? Yang percaya Pak Purbaya kasih jempol
@bowosumono8051,Semoga ini bukan hanya gebrakan awal saja tapi benar benar tulus memperbaiki kondisi bangsa dan negara  berat memang melawan orang orang di sekitarnya tapi ini adalah pekerjaan mulia bagi pak Purbaya  rakyat akan mendukungmu
@ziaalzikri123,"Hipotesis sementara ""yang menghalangi kebijakan pak Purbaya di sinyalir adalah kaki tangan mafia di Indonesia""🧐🧐"
@saputra.0921,"Maungkin dananya sudah turun tapi kilangnya gak d bangun2 lebih baik d bagi2 dananya,usut terus pak purbaya orang2 yang bermain d proyek n karna banyak malingnya."
@nanabasuki6288,"Berati selama ini banyak mafia dan koruptor, pemakan hak rakyat, penghianat rakyat, anda ga pernah bahagia, mengambil hak rakyat.
Terimakasih pak Purbaya, lanjutkan"
@rajendraalarkan2934,Semoga pak purbaya selalu dalam lindunganNya Amin!!!
@Rivan_Uchiha,JAWA SUMATERA KALIMANTAN PAPUA SULAWESI & SELURUH PULAU INDONESIA MENDUKUNG PAK PURBAYA 🫡🫡🫡
@Lovepalestina99,"Siapapun pejabat,aparat yang bekerja setulus hati kpd bangsa dan negara akan selalu di doakan rakyat,walau di musuhi dan di tentang insyaallah akan menang!!!!"
@ammargacor9395,"Ratakan, kasih tiada ampun pak  Purbaya salam dukungan dari Kalimantan Timur Balikpapan"
@SlamedhadisantosoSantoso,Banyak OMONG BAHLIL.perlu di periksa sama KPK
@sholahhuddin9083,Mari saudaraku! Kita jaga dan kawal terus pak Purbaya.
@Melayu_08Rakyat,"Karena klu impor itu bajingan bajingan termasuk dpt dapat fee!! 
Makanya impor terus!!"
@clearresonances,"🔥🔥🇮🇩 FOKUS KITA: 1.DEKRIT PRESIDEN PEMBEKUAN DPR,DPRD DAN ATAU
2. HUKUM MATI KORUPTOR
3. RUU/KEPRES PERAMPASAN ASET. 
4.TURUNKAN GAJI DPR & DPRD 2 KALI UMR SAJA,HAPUS SEMUA TUNJANGAN DAN DANA PENSIUN DPR/DPRD
5.  TRANSPARANSI ANGGARAN DLL. DI POLRI, BUMN,LEGISLATIF,EKSEKUTIF,YUDIKATIF,DLL.
6.STOP PENGGUNAAN GAS AIR MATA.MELANGGAR HAM. 
DOA RAKYAT RAJA NUSANTARA TERUS MAJU.MERDEKA ATAU MATI🇮🇩🔥🔥🔥"
@Hujan_123,semangat mentri keuangan usut semua kejahatan2 mafia penjahat pencuri uang negara
@MyHero-dj1om,"Dengar lagi tuh kan ada investor yg mau bantu , jangan mau bawah ke arah seakan-akan susah untuk bangun kilang,udah tau permainan, SEMNGAT PAK MENKEU"
@stevetan3485,Yg lucu di sumsel ada kilang di plaju tapi lihat lah antrian BBM di spbu mengular bisa sampai ratusan meter. Miris sekali gak ngerti gimana cara kerja pertamina.
@marine06,"Mungkin alasannya sudah terjawab, yaitu tertangkap nya raja minyak..? 
Miris, negara dgn sumber daya alam melimpah, uang ada tp pejabat nya males bekerja...?"
@Rudeus_Greyratt,"Lbih mudah korupsi dr impor, drpda korupsi dr produksi sndiri"
@eskrimwatch09,Hancurkan suara golkar di pemilu  rakyat tisak boleh kalah sm uang 50-100rb
@BambangRiyanto-wx3tb,Sing goblookk juga rakyat Indonesia.... Mau2nya disogok duit
@15.kadekkevinatalanta41,"Boleh ambil uangnya,tpi ttp coblos semuanya ngk ush krtas d buka tpi lngsng coblos kl kosong akn d manipulasi suaranya"
@JonKomen,"Kata over capacity harusnya menunjukkan kapasitasnya berlebih, brrti kilang kurang. Kalo kilangnya berlebih adalah over invenvestment"
@KaisaUlyaazizah,​ @eskrimwatch09 ambil duit nya tapi jgn dipilih partainya😂😂😂
@calonpenyanyicilik-ut1hf,"​ @eskrimwatch09  50k mendinglah, ditempat saya RT sekecamatan dikumpulkan, pas suara bupati dan pas DPR kalah, muka mereka pucat, Agustusan aja 1bendera aja dipinggir jalan kaga ada, didesa malah rame😂😂😂"
@tapeUliku,​ @JonKomen artinya impor BBM  itu akibat over Investment??
@BadruzamanIbad,​ @eskrimwatch09 ambil uangny pilih yg benar..
@dodyrainst4871,"Rame"" tegas resuffle bahlil"
@firman_mustaqim,Itukan partainya SoeHARTOOOO😂🎉
@theBlackBokongs,​ @BambangRiyanto-wx3tb nah...ini jg masalah.
@ANB-tn8dk,mentri g bisa apa apa banyak teori kok mash di pake
@zipzikin7084,Partai jebolan orba semua KORUPTOR
@Suduttukang,"Proses apa bahlul maksud, bikin kilqng itu proses paling di butukan untuk tambah produksi,

Lu mau perbanyak hasil produksi tapi pabriknya ngak dibuat kan logikanya masuk di got"
@jimmyrebel9385,Blacklist udah bener itu partai beringin
@galihwahyu7057,"Golkar, pdip partai2 paling merusak indonesia. Banyak mafia nya"
@manbejo612,"Sulit bro pecat si Bahlil soalnya dia petinggi partai. Apalagi di dpr suara/representatif golkar termasuk mayoritas, repot punya mentri dr parpol"
@erlanggawibawa1143,Kalo milih siapapun kalo cuma 50 100 minta 1 org minim 50jt baru pilih kalo cuma 100 50 duit receh
@argamotor9940,Hidup PDIP
@ahmadn7576,Ya Mulyono Rajan a
@mbahkemo,SELAMA INI DIRUT PERTAMINA  ALUMNI ITB LHOOO  ...... NGAPAIN AJA ????
@rifkifarhan9006,"​ @mbahkemo dia bilang PhD, bukan ITB. Dibaca dulu lah, jgn nyerocos aja. Termul Termul"
@gunadi626,"​ @mbahkemo dirut harus ikut kebijakan pemerintah.Tinggal siapa yang berani, kalau pintar jelas tinggal mau jujur apa enggak."
@ritzyrasfin3113,Bahlil sekolahnya gak ada di Google ..itu kata dia..jadi tau sendiri kapasitasnya
@erinnberlina4712,Orang pintar harga dirinya derajatnya lebih tinggi tidak mudah dibodohin diperbudak orang seumur hidup tidak mempermalukan dirinya sendiri dibanggakan oleh semua orang
@remintong2930,Junjungan gimana si mulyono bin mukidi dukung siapa
@kangaguswelder,Harusnya buah aja orang seprti itu
@BejoMelulu,Justru kpk yg takut ama bahlul mana ada cicak menang melawan buaya
@urbankelanachannel5353,Cerdas😂
@acdc1859,No impor = No Fulus
@B41Mseven,"Ya gitu lah 😂😂😂 inti nya mah berjamaah,"
@dwisatrio7921,"Ente cerdas bos haa
Lebih parah lagi bbm d oplos segala bos haa
Joss"
@oszcosnosozcn,"Makanya konoha negara agraria aja, beras malah import... gak import, gak dapet FEE, gak cuan. Kasihan petani2 lokal."
@BzGd-q6g,"Bikin kilang baru di Indonesia 
Setuju"
@aldira0257,OVERCAPACITY DRI HONGKON.... BUKTINYA IMPOR KOK OVER CAPACITY?? BLOK....
@adimonchox95,"Patut dicurigai tu Menteri, ayo KPK.. 😂😅"
@matrik52,Akal² supaya import terus. Karena kalau import para pejabat yg ngurus minyak dapat fee / rente besar. Kalau kilang sendiri pejabat tidak dapat apa².
@Keenanghaziutsman19,"Jangan percaya Bahlil 😂

Orang kek gitu masih menjabat hadeuuhh.."
@Duriankampung02,Makanya Bahlil jgn bohong klw sama rakyat bisa bohong klw sama pak Purbaya bohong ketahuan...
@NovriIskandar,Ini baru menteri keuangan. Bravo pak purbaya. STOP IMPOR BUAT KILANG. BIAR MEREKA GAK DAPAT CUAN LAGI DARI BBM IMPORT
@gherypriscylio458,Bangun kilang menguntungkan untuk negara. Import BBM menguntungkan untuk “orang Pertamina”
@FaizAbizararisandi,Mafia yg sangat serakah
@dwiatnisetyowati2417,"Mukanya Bahlil dan warna kulit mukanya sama warnanya dengan hatinya, ga punya nurani, gelap dan otaknyapun gelap.❤😂"
@pewepewepewe,ANGKAT SAYA JADI PEMIMPIN TERTINGGI DI PERTAMINA...TAK BABAT HABIS MAFIA🔥🔥🔥PERTAMINA BAKALAN PROFIT🔥🔥
@DimasSatria-iu8rw,Jauh lebih bagus Pak Purbaya drpd Bahlil TOULOUL menteri koruptor
@eskrimwatch09,Koruptor MBG Lohot dan Koruptor minyak LPG bahlil. Kejang kejang hadapin menkeu kita yg jenius 😂😂😂😂
@SudutPinggir,Mafia Pertamina sejak dulu ngaku rugi tapi minta bonus segeda gaban puluhan milyar gila ga tuh...pecat bahlil !!
@darwinzamzami4066,Oper Capasity apaan. Cari solar aja sangat sulit sekarang di Aceh. Hajar semua Pak Purbaya. Termasuk Bahlul itu.
@MichaelSarendatu,Bahlil itu sumber masalah...dr dulu Golkar itu yg menggadaikan Indonesia
@houseprediction2834,"Jangankan Purbaya, kami yg rakyat kecil saja kagak percaya sama kau Bahlil. Kalau bukan ketua golkar sepertinya kau sudah di periksa kpk ini."
@wendoyofficial,Bahlil kok blm di pecat jga ya
@fatraduwipa,Alasannya sederhana karena biaya produksi minyak itu lebih kecil dibandingkan daripada kita mengimpor oleh karena itu Pertamina terus mengimpor BBM
@MandallaQidsiChanel,"Kemarin tuan nya Bahlul ngebujuk pak presiden.
Jangan² mmmmmm.....😊"
@ozekidzzone4345,itulah kenapa indonesia tidak akan bsa jadi negara maju sampai kiamat karna orang2 pemerintah isinya mafia semuaa/
@wasto-sq9zf,Hanya anak2 muda dan mahasiswa yg bisa menuntaskan ...tas...tas...tas ....sampe ke akar2nya ....ayo selesaikanlah secepatnya ....🕺🕺🏃‍➡️
@Kadrun12345,Bahlil glowing banget memancarkan aura koruptor
@keluargaedisiswoyo8364,Muka nya Bahlil sudah kaya kilang minyak ngebul 😅😅
@pistachio1998,u cp?
@remintong2930,Paling2 kau jdi anggota mreka
@biangkerok7777,"Iya lah,  masa menkeu dibandingkan sama boneka Labubu 😂"
@taulmhofficial3789,Lohot dapat ontong Subsidi motor listrik
@nitafath7292,jujur...mrk cs butuh modal besar 2029.
@Gigsdt,Golkar banteng
@llcn5610,Luhut dan Bahlil
@CakSemua,Bahlil itu tangan kanan pokowi dan pokowi tangan kanan mafia..
@lurnitdeuS,​@Gigsdtgolkar top korup
@PutraMaqbulIhsanBasyar,"Berat, ketum Golkar"
@suryazen4388,karna prabowo juga korupsi
@top10sarjana64,"Prabowo baru 1 periode. Kalo di pecat, dia kehilangan dukungan golkar."
@AgusHidayat-ko6tw,"KLO ADA BUKTI KORUPSI ,DG SENDIRINYA BISA DIPIDANA DAN MASUK BUI SEPERTI KASUS KETUM GOLKAR YG PAPA MINTA SAHAM."
@suryazen4388,​ @AgusHidayat-ko6tw papa minta saham udah bebas dan duitnya masih banyak karna gk pernah disita negara
@brojurtom4128,"Bahlil uang bagi² nya kencang & lancar, ga ada yg serang dia broo"
@69leonite,"Berat. Dalam politik itu ada bargain politik. Pecat bahlil yg merupakan ketum partai golkar berarti siap kehilangan dukungan golkar di dpr. Ingat setiap program pemerintah hanya bisa jalan kalau mendapatkan dukungan mayoritas di dpr, termasuk kebijakan²nya purbaya kalau dpr ga menyetujui ya ga bisa dilaksanakan. Itulah kenapa bagi² jabatan di perpolitikan indonesia tdk bisa terhindarkan."
@mohamadwakhid6543,Astaghfirullah. Mentri genk solo kok selalu menyusahkan rakyat😢😢
@salmansudiman76,Kalau uver capacity...kenapa harus impor BBM dari singapura....Buat aja penampung kilang baru buat penampung ...... otak mafia mulai rasukin direksi migas
@endavloghfz8287,ayo guys kita demo di depan kantor pertamina klo perlu di semua kilang pertamina seluruh indonesia
@RifqatulAdiba,Yg jdi pertanyaan pak Purbaya knp dri thun 98 sampe skrang 1 pun ga bisa bikin??? Emngnya meski brp duit ga sanggup bikin kn pertamina pasti ada untungnya gak mungkin rugi dri tahun 98
@sandikhoiri,"Anda sehat BPK Bahlil yg terhormat!!!!!????
Dari jaman Jokowi sibuk mau buat kilang""minyak.tapi sampai skrng 0 besar"
@Kucing_Rakyat,"Apapun pernyataan tlol dia, intinya sejak jaman sutowo, kita dipaksa buat import BBM agar mafia asing cuan, nah kacung""nya itu yang ada di indo yang perlu di sikat!"
@mg89channel56,"Kalau tidak ada kilang dan butuh minyak, masih masuk logika klo impor. Laaaaah ini over capacity, ngapain impor. Tujuan nya punya kilang baru biar gak impor² lagi. Lanjutkan Pak Pur"
@p34c3b3up0n,"Mulai Jokowi 2014 BBM Pertamina memburuk kualitas nya, sekarang Jokowi punya anak buah yaitu Bahlil di ESDM jadi sulit Indonesia punya kualitas BBM yang baik seperti era SBY."
