author,comment,clean_comment,tokens,filtered_comment
@EnyFarida-s3u,"Betul..
Ngk bisa nyolong...","betul
ngk bisa nyolong","['betul', 'ngk', 'bisa', 'nyolong']",ngk nyolong
@sanyvideo9285,pecat Purbaya,pecat purbaya,"['pecat', 'purbaya']",pecat purbaya
@pencarikeadilan4287,Ayook kita serbu lagi rumah mafia minyak🎉🎉,ayook kita serbu lagi rumah mafia minyak,"['ayook', 'kita', 'serbu', 'lagi', 'rumah', 'mafia', 'minyak']",ayook serbu rumah mafia minyak
@yogi.wisnuadi,Tiap tahun ada aja kilang yang diledakin sama mafia ini,tiap tahun ada aja kilang yang diledakin sama mafia ini,"['tiap', 'tahun', 'ada', 'aja', 'kilang', 'yang', 'diledakin', 'sama', 'mafia', 'ini']",aja kilang diledakin mafia
@fchristono,cocok,cocok,['cocok'],cocok
@akrSaefullah,Gampang kok siapa yang calo impor yang sedang buron sekarang..cuan bagi-bagi  kepejanat,gampang kok siapa yang calo impor yang sedang buron sekarangcuan bagibagi  kepejanat,"['gampang', 'kok', 'siapa', 'yang', 'calo', 'impor', 'yang', 'sedang', 'buron', 'sekarangcuan', 'bagibagi', 'kepejanat']",gampang calo impor buron sekarangcuan bagibagi kepejanat
@dikaabriyan3026,Nanti v impornya hilang bro😂,nanti v impornya hilang bro,"['nanti', 'v', 'impornya', 'hilang', 'bro']",v impornya hilang bro
@abdusshomad6630,"Banyak malingnya.
Terutama yang hobi menyakiti rakyat","banyak malingnya
terutama yang hobi menyakiti rakyat","['banyak', 'malingnya', 'terutama', 'yang', 'hobi', 'menyakiti', 'rakyat']",malingnya hobi menyakiti rakyat
@nursudi989,"di negara lain suddh mulai tutup spbu , di cina 60℅ spbu sdh tutp,eranya sdh berubah ,menurutku bangun kilang juga rugi,import juga rugi 😊😊😊😊😊",di negara lain suddh mulai tutup spbu  di cina  spbu sdh tutperanya sdh berubah menurutku bangun kilang juga rugiimport juga rugi,"['di', 'negara', 'lain', 'suddh', 'mulai', 'tutup', 'spbu', 'di', 'cina', 'spbu', 'sdh', 'tutperanya', 'sdh', 'berubah', 'menurutku', 'bangun', 'kilang', 'juga', 'rugiimport', 'juga', 'rugi']",negara suddh tutup spbu cina spbu sdh tutperanya sdh berubah menurutku bangun kilang rugiimport rugi
@picanical1701,"mereka tidak rugi apapun, tapi mereka tidak bisa ambil untung",mereka tidak rugi apapun tapi mereka tidak bisa ambil untung,"['mereka', 'tidak', 'rugi', 'apapun', 'tapi', 'mereka', 'tidak', 'bisa', 'ambil', 'untung']",rugi apapun ambil untung
@DwiErAzhuCreator,​ @AvrahamBenYitzhak-s4v ngak heran Singapura maju pembangunannya ternyata yang buat bangun uang dari Indonesia 🤫,sv ngak heran singapura maju pembangunannya ternyata yang buat bangun uang dari indonesia,"['sv', 'ngak', 'heran', 'singapura', 'maju', 'pembangunannya', 'ternyata', 'yang', 'buat', 'bangun', 'uang', 'dari', 'indonesia']",sv ngak heran singapura maju pembangunannya bangun uang indonesia
@Ramarama-yw4sj,Bener bro kl impor kan bisa korup wkwkekkkk,bener bro kl impor kan bisa korup wkwkekkkk,"['bener', 'bro', 'kl', 'impor', 'kan', 'bisa', 'korup', 'wkwkekkkk']",bener bro kl impor korup wkwkekkkk
@SagalaRaja-p5g,Mana bisa..Uda diatur tipu tipu duluan suap suap itu la tabiat tabiat didikan,mana bisauda diatur tipu tipu duluan suap suap itu la tabiat tabiat didikan,"['mana', 'bisauda', 'diatur', 'tipu', 'tipu', 'duluan', 'suap', 'suap', 'itu', 'la', 'tabiat', 'tabiat', 'didikan']",bisauda diatur tipu tipu duluan suap suap la tabiat tabiat didikan
@pekerjasangatkeras,Ganti pak archandra,ganti pak archandra,"['ganti', 'pak', 'archandra']",ganti archandra
@tonipongkoran9365,"Terlalu lama 2029, tinggal komitmen aja demo nepalkan golkar",terlalu lama  tinggal komitmen aja demo nepalkan golkar,"['terlalu', 'lama', 'tinggal', 'komitmen', 'aja', 'demo', 'nepalkan', 'golkar']",tinggal komitmen aja demo nepalkan golkar
@andreiyusuffahlifi1916,Ibarat anda minta ketua partai demokrat amirika ganti jabatan,ibarat anda minta ketua partai demokrat amirika ganti jabatan,"['ibarat', 'anda', 'minta', 'ketua', 'partai', 'demokrat', 'amirika', 'ganti', 'jabatan']",ketua partai demokrat amirika ganti jabatan
@noworries-g4b,"​ @pekerjasangatkeras  bagus juga. Tapi ya terserah pak prabowo, dia lebih tau yg potensial naik.",bagus juga tapi ya terserah pak prabowo dia lebih tau yg potensial naik,"['bagus', 'juga', 'tapi', 'ya', 'terserah', 'pak', 'prabowo', 'dia', 'lebih', 'tau', 'yg', 'potensial', 'naik']",bagus ya terserah prabowo tau yg potensial
@randommandom604,Ga bisa diganti sepertinya. Mungkin ada alasan khusus.,ga bisa diganti sepertinya mungkin ada alasan khusus,"['ga', 'bisa', 'diganti', 'sepertinya', 'mungkin', 'ada', 'alasan', 'khusus']",ga diganti alasan khusus
@GoalTerus,Nepalkan,nepalkan,['nepalkan'],nepalkan
@makbarr1976,"Mana berani prabs ganti Bahlil, dia ketum Golkar 😂. Gonjang ganjing kabinet Prabowo kalau ketum Golkar di resuffle",mana berani prabs ganti bahlil dia ketum golkar  gonjang ganjing kabinet prabowo kalau ketum golkar di resuffle,"['mana', 'berani', 'prabs', 'ganti', 'bahlil', 'dia', 'ketum', 'golkar', 'gonjang', 'ganjing', 'kabinet', 'prabowo', 'kalau', 'ketum', 'golkar', 'di', 'resuffle']",berani prabs ganti bahlil ketum golkar gonjang ganjing kabinet prabowo ketum golkar resuffle
@SaptaMuhammad-p9m,"d perusak hutan ,mngijikan tambang d rajaemat Papua ....knp kok d izinkan tambang d situ ,limbah pasti MNGHNCURKAN biota laut",d perusak hutan mngijikan tambang d rajaemat papua knp kok d izinkan tambang d situ limbah pasti mnghncurkan biota laut,"['d', 'perusak', 'hutan', 'mngijikan', 'tambang', 'd', 'rajaemat', 'papua', 'knp', 'kok', 'd', 'izinkan', 'tambang', 'd', 'situ', 'limbah', 'pasti', 'mnghncurkan', 'biota', 'laut']",d perusak hutan mngijikan tambang d rajaemat papua knp d izinkan tambang d situ limbah mnghncurkan biota laut
@wendellkwang3724,demo lagi lah!!!,demo lagi lah,"['demo', 'lagi', 'lah']",demo
@zaganovyildirim12,Kelamaan cok nunggu 2029. Mending geruduk partainya aja biar bahlil di copot jdi ketua. Kalau semua rakyat kompak untuk turun maka parpol juga auto ga bisa seenaknya lagi. Dan jangan lupa untuk jaga menkeu kalau butuh mah kita nongkrong di kemenkeu untuk jaga purbaya karena ini orang independen bukan dri parpol maka pastinya akan ada ancaman di bunuh karena sudah banyak mengusik elit global.,kelamaan cok nunggu  mending geruduk partainya aja biar bahlil di copot jdi ketua kalau semua rakyat kompak untuk turun maka parpol juga auto ga bisa seenaknya lagi dan jangan lupa untuk jaga menkeu kalau butuh mah kita nongkrong di kemenkeu untuk jaga purbaya karena ini orang independen bukan dri parpol maka pastinya akan ada ancaman di bunuh karena sudah banyak mengusik elit global,"['kelamaan', 'cok', 'nunggu', 'mending', 'geruduk', 'partainya', 'aja', 'biar', 'bahlil', 'di', 'copot', 'jdi', 'ketua', 'kalau', 'semua', 'rakyat', 'kompak', 'untuk', 'turun', 'maka', 'parpol', 'juga', 'auto', 'ga', 'bisa', 'seenaknya', 'lagi', 'dan', 'jangan', 'lupa', 'untuk', 'jaga', 'menkeu', 'kalau', 'butuh', 'mah', 'kita', 'nongkrong', 'di', 'kemenkeu', 'untuk', 'jaga', 'purbaya', 'karena', 'ini', 'orang', 'independen', 'bukan', 'dri', 'parpol', 'maka', 'pastinya', 'akan', 'ada', 'ancaman', 'di', 'bunuh', 'karena', 'sudah', 'banyak', 'mengusik', 'elit', 'global']",cok nunggu mending geruduk partainya aja biar bahlil copot jdi ketua rakyat kompak turun parpol auto ga lupa jaga menkeu butuh mah nongkrong kemenkeu jaga purbaya orang independen dri parpol pastinya ancaman bunuh mengusik elit global
@Capibara7834,Bugilin aja biar tinggal pake sempac...tinggal Seret  Ke Sungai,bugilin aja biar tinggal pake sempactinggal seret  ke sungai,"['bugilin', 'aja', 'biar', 'tinggal', 'pake', 'sempactinggal', 'seret', 'ke', 'sungai']",bugilin aja biar tinggal pake sempactinggal seret sungai
@Siomey88,​ @GoalTerus aku itu ngefans bangat ama mbak Eno,aku itu ngefans bangat ama mbak eno,"['aku', 'itu', 'ngefans', 'bangat', 'ama', 'mbak', 'eno']",ngefans bangat ama mbak eno
@ilhamnuansa9382,yang paling bener buang aja semua menteri jokowi,yang paling bener buang aja semua menteri jokowi,"['yang', 'paling', 'bener', 'buang', 'aja', 'semua', 'menteri', 'jokowi']",bener buang aja menteri jokowi
@Ainur-k6b,Menteri goblin,menteri goblin,"['menteri', 'goblin']",menteri goblin
@Siomey88,​ @Ainur-k6b nyemontet nyulpit nyulpit😢,kb nyemontet nyulpit nyulpit,"['kb', 'nyemontet', 'nyulpit', 'nyulpit']",kb nyemontet nyulpit nyulpit
@Sarip1208-b2m,Pecat aja itu p Bahlil tidak ada gunanya di Indonesia,pecat aja itu p bahlil tidak ada gunanya di indonesia,"['pecat', 'aja', 'itu', 'p', 'bahlil', 'tidak', 'ada', 'gunanya', 'di', 'indonesia']",pecat aja p bahlil gunanya indonesia
@mustwin5504,Bpk presiden tahu siapa menteri baik siapa menteri jahat...yg rakyat tdk tahu bpk presiden berada di pihak mana,bpk presiden tahu siapa menteri baik siapa menteri jahatyg rakyat tdk tahu bpk presiden berada di pihak mana,"['bpk', 'presiden', 'tahu', 'siapa', 'menteri', 'baik', 'siapa', 'menteri', 'jahatyg', 'rakyat', 'tdk', 'tahu', 'bpk', 'presiden', 'berada', 'di', 'pihak', 'mana']",bpk presiden menteri menteri jahatyg rakyat tdk bpk presiden
@sandi-wj2oh,Siap saya pun ikut ga bkln lgi pilih golkar klo ada kluargaku yg pilih golkarberani kelahi aku,siap saya pun ikut ga bkln lgi pilih golkar klo ada kluargaku yg pilih golkarberani kelahi aku,"['siap', 'saya', 'pun', 'ikut', 'ga', 'bkln', 'lgi', 'pilih', 'golkar', 'klo', 'ada', 'kluargaku', 'yg', 'pilih', 'golkarberani', 'kelahi', 'aku']",ga bkln lgi pilih golkar klo kluargaku yg pilih golkarberani kelahi
@MounaRudo-t9l,"Pak Prabowo Kayak nya sulit menurunkan Bahlil , karna mantan istri ada digolkar ..😅
Kita sebagai Rakyat hanya dibodohi orang2 Partai politik 😅","pak prabowo kayak nya sulit menurunkan bahlil  karna mantan istri ada digolkar 
kita sebagai rakyat hanya dibodohi orang partai politik","['pak', 'prabowo', 'kayak', 'nya', 'sulit', 'menurunkan', 'bahlil', 'karna', 'mantan', 'istri', 'ada', 'digolkar', 'kita', 'sebagai', 'rakyat', 'hanya', 'dibodohi', 'orang', 'partai', 'politik']",prabowo kayak nya sulit menurunkan bahlil karna mantan istri digolkar rakyat dibodohi orang partai politik
@hansmusik8963,"Bisa di ganti, cm harus ngambil dari Golkar lagi gantinya.",bisa di ganti cm harus ngambil dari golkar lagi gantinya,"['bisa', 'di', 'ganti', 'cm', 'harus', 'ngambil', 'dari', 'golkar', 'lagi', 'gantinya']",ganti cm ngambil golkar gantinya
@adeharapan7922,Nepal aja bisa,nepal aja bisa,"['nepal', 'aja', 'bisa']",nepal aja
@faridaastuti9830,"Pdhl bnyaak  lbh competent, dr ITB dll. Coba cari yg ex direktur oil & mining corp. Posisi mentri  kan hrs yg benar2 skillfull & expert dan jng malu2 in.",pdhl bnyaak  lbh competent dr itb dll coba cari yg ex direktur oil  mining corp posisi mentri  kan hrs yg benar skillfull  expert dan jng malu in,"['pdhl', 'bnyaak', 'lbh', 'competent', 'dr', 'itb', 'dll', 'coba', 'cari', 'yg', 'ex', 'direktur', 'oil', 'mining', 'corp', 'posisi', 'mentri', 'kan', 'hrs', 'yg', 'benar', 'skillfull', 'expert', 'dan', 'jng', 'malu', 'in']",pdhl bnyaak lbh competent dr itb dll coba cari yg ex direktur oil mining corp posisi mentri hrs yg skillfull expert jng malu in
@3gp25,Rumah nya kudu di nepalkan dulu baru di ganti. Presiden dari beberapa bulan lalu dah kasih kode. Tapi masyarakat gak ada yang sadar.,rumah nya kudu di nepalkan dulu baru di ganti presiden dari beberapa bulan lalu dah kasih kode tapi masyarakat gak ada yang sadar,"['rumah', 'nya', 'kudu', 'di', 'nepalkan', 'dulu', 'baru', 'di', 'ganti', 'presiden', 'dari', 'beberapa', 'bulan', 'lalu', 'dah', 'kasih', 'kode', 'tapi', 'masyarakat', 'gak', 'ada', 'yang', 'sadar']",rumah nya kudu nepalkan ganti presiden dah kasih kode masyarakat gak sadar
@mas2_original,"Beratt, ini soal politik, 
Musti pelan2 mainya.

Purbaya ini ada untuk coba gempur mereka pelan2","beratt ini soal politik 
musti pelan mainya

purbaya ini ada untuk coba gempur mereka pelan","['beratt', 'ini', 'soal', 'politik', 'musti', 'pelan', 'mainya', 'purbaya', 'ini', 'ada', 'untuk', 'coba', 'gempur', 'mereka', 'pelan']",beratt politik musti pelan mainya purbaya coba gempur pelan
@mas2_original,"​ @noworries-g4b bro, ini politik. Ngga semudah itu. Butuh proses",gb bro ini politik ngga semudah itu butuh proses,"['gb', 'bro', 'ini', 'politik', 'ngga', 'semudah', 'itu', 'butuh', 'proses']",gb bro politik ngga semudah butuh proses
@mas2_original,"​ @randommandom604  berat, ini politik. 
Biar pak purbaya yg goyang","berat ini politik 
biar pak purbaya yg goyang","['berat', 'ini', 'politik', 'biar', 'pak', 'purbaya', 'yg', 'goyang']",berat politik biar purbaya yg goyang
@TaufikHidayat-ch4dg,"Kan sudah di gugat warga bahlil cuman ga datang, pengecut",kan sudah di gugat warga bahlil cuman ga datang pengecut,"['kan', 'sudah', 'di', 'gugat', 'warga', 'bahlil', 'cuman', 'ga', 'datang', 'pengecut']",gugat warga bahlil cuman ga pengecut
@rfprokawan,Gas.. rakyat siap bersatu membangun kualitas SDM dan ESDM Indonesia,gas rakyat siap bersatu membangun kualitas sdm dan esdm indonesia,"['gas', 'rakyat', 'siap', 'bersatu', 'membangun', 'kualitas', 'sdm', 'dan', 'esdm', 'indonesia']",gas rakyat bersatu membangun kualitas sdm esdm indonesia
@ramsessimamora2444,"Biar ketum partai kalau nda becus presiden nda perlu kuatir resafel saja,rakyat siap",biar ketum partai kalau nda becus presiden nda perlu kuatir resafel sajarakyat siap,"['biar', 'ketum', 'partai', 'kalau', 'nda', 'becus', 'presiden', 'nda', 'perlu', 'kuatir', 'resafel', 'sajarakyat', 'siap']",biar ketum partai nda becus presiden nda kuatir resafel sajarakyat
@roromera7685,"Menteri Keuangan bguz itu Kilang dibikin jd G import minyak , biasanya Negara Klo slalu Import takutnya keadaan Genting misalnya minyak udh mnipis klo yg Negara Eksport Minyak Ny g mau Jual gymna , klo bikin sndiri Kilang kan enak persediaan Minyak klo misalnya Keadaan Genting, Perang atau gymna jd udh ada Persediaan, Mf ne PeramaL Gumay kata bilang nnti Indonesia bakal Perang sama Australia biasa ny ramalan Gumay bner😮",menteri keuangan bguz itu kilang dibikin jd g import minyak  biasanya negara klo slalu import takutnya keadaan genting misalnya minyak udh mnipis klo yg negara eksport minyak ny g mau jual gymna  klo bikin sndiri kilang kan enak persediaan minyak klo misalnya keadaan genting perang atau gymna jd udh ada persediaan mf ne peramal gumay kata bilang nnti indonesia bakal perang sama australia biasa ny ramalan gumay bner,"['menteri', 'keuangan', 'bguz', 'itu', 'kilang', 'dibikin', 'jd', 'g', 'import', 'minyak', 'biasanya', 'negara', 'klo', 'slalu', 'import', 'takutnya', 'keadaan', 'genting', 'misalnya', 'minyak', 'udh', 'mnipis', 'klo', 'yg', 'negara', 'eksport', 'minyak', 'ny', 'g', 'mau', 'jual', 'gymna', 'klo', 'bikin', 'sndiri', 'kilang', 'kan', 'enak', 'persediaan', 'minyak', 'klo', 'misalnya', 'keadaan', 'genting', 'perang', 'atau', 'gymna', 'jd', 'udh', 'ada', 'persediaan', 'mf', 'ne', 'peramal', 'gumay', 'kata', 'bilang', 'nnti', 'indonesia', 'bakal', 'perang', 'sama', 'australia', 'biasa', 'ny', 'ramalan', 'gumay', 'bner']",menteri keuangan bguz kilang dibikin jd g import minyak negara klo slalu import takutnya genting minyak udh mnipis klo yg negara eksport minyak ny g jual gymna klo bikin sndiri kilang enak persediaan minyak klo genting perang gymna jd udh persediaan mf ne peramal gumay bilang nnti indonesia perang australia ny ramalan gumay bner
@Ediwaelah-r6e,Percuma... kuncinya di presiden kalo presiden nya melempem.... wasalam,percuma kuncinya di presiden kalo presiden nya melempem wasalam,"['percuma', 'kuncinya', 'di', 'presiden', 'kalo', 'presiden', 'nya', 'melempem', 'wasalam']",kuncinya presiden kalo presiden nya melempem wasalam
@inisialW00,​ @Ediwaelah-r6e iya kalo presiden nya abah atau genjer ya pasti mlempem dari kemaren ga ada kasus terbongkar wkwk,re iya kalo presiden nya abah atau genjer ya pasti mlempem dari kemaren ga ada kasus terbongkar wkwk,"['re', 'iya', 'kalo', 'presiden', 'nya', 'abah', 'atau', 'genjer', 'ya', 'pasti', 'mlempem', 'dari', 'kemaren', 'ga', 'ada', 'kasus', 'terbongkar', 'wkwk']",re iya kalo presiden nya abah genjer ya mlempem kemaren ga terbongkar wkwk
@haysnairte4," @inisialW00  percuma berandai andai, yg udah jalan dua periode aja jelas fakta",percuma berandai andai yg udah jalan dua periode aja jelas fakta,"['percuma', 'berandai', 'andai', 'yg', 'udah', 'jalan', 'dua', 'periode', 'aja', 'jelas', 'fakta']",berandai andai yg udah jalan periode aja fakta
@prakasarevo5435,"Bahaya malah purbaya, baru naik langsung mo by one ma kesayangan geng",bahaya malah purbaya baru naik langsung mo by one ma kesayangan geng,"['bahaya', 'malah', 'purbaya', 'baru', 'naik', 'langsung', 'mo', 'by', 'one', 'ma', 'kesayangan', 'geng']",bahaya purbaya langsung mo by one ma kesayangan geng
@Serang775,​ @roromera7685 jirrrrrrr percaya ma DUKUN😂😂,jirrrrrrr percaya ma dukun,"['jirrrrrrr', 'percaya', 'ma', 'dukun']",jirrrrrrr percaya ma dukun
@sasongko5769,HIDOP PURAYAaa,hidop purayaaa,"['hidop', 'purayaaa']",hidop purayaaa
@roromera7685,​ @Serang775  Bro kata PeramaL Gumay THN 2037 klo g salah Indonesia perang sama Australia,bro kata peramal gumay thn  klo g salah indonesia perang sama australia,"['bro', 'kata', 'peramal', 'gumay', 'thn', 'klo', 'g', 'salah', 'indonesia', 'perang', 'sama', 'australia']",bro peramal gumay thn klo g salah indonesia perang australia
@juripenilaian3630,PERTAMINA LADANG KORUUUPPPP,pertamina ladang koruuupppp,"['pertamina', 'ladang', 'koruuupppp']",pertamina ladang koruuupppp
@MantanbociL_epep-h5d,"Kalau ada barisan pengaman pribadi menkeu, saya siap. Kita kawal pak pur dimana pun berada",kalau ada barisan pengaman pribadi menkeu saya siap kita kawal pak pur dimana pun berada,"['kalau', 'ada', 'barisan', 'pengaman', 'pribadi', 'menkeu', 'saya', 'siap', 'kita', 'kawal', 'pak', 'pur', 'dimana', 'pun', 'berada']",barisan pengaman pribadi menkeu kawal pur dimana
@Pattinson1004,​ @MantanbociL_epep-h5d lgi nganggur bang ya?,hd lgi nganggur bang ya,"['hd', 'lgi', 'nganggur', 'bang', 'ya']",hd lgi nganggur bang ya
@StayOnHalal,"Maaf ka, itu penulisan nama Tuhan Allah SWT pake huruf besar ya😊",maaf ka itu penulisan nama tuhan allah swt pake huruf besar ya,"['maaf', 'ka', 'itu', 'penulisan', 'nama', 'tuhan', 'allah', 'swt', 'pake', 'huruf', 'besar', 'ya']",maaf ka penulisan nama tuhan allah swt pake huruf ya
@tommyaditya5968,"​ @Pattinson1004 😅😅 g gtu bang, takut ny bnyk yg mau menjatuhkan beliao,",g gtu bang takut ny bnyk yg mau menjatuhkan beliao,"['g', 'gtu', 'bang', 'takut', 'ny', 'bnyk', 'yg', 'mau', 'menjatuhkan', 'beliao']",g gtu bang takut ny bnyk yg menjatuhkan beliao
@SariatieA-mm5fi,Iya..se7.org kaya Bahlil TDK bisa di Percaya...org nya suka kong kalingkong.,iyaseorg kaya bahlil tdk bisa di percayaorg nya suka kong kalingkong,"['iyaseorg', 'kaya', 'bahlil', 'tdk', 'bisa', 'di', 'percayaorg', 'nya', 'suka', 'kong', 'kalingkong']",iyaseorg kaya bahlil tdk percayaorg nya suka kong kalingkong
@wayyoffyouyuo868,Btw harta bahllil nyampe 300 miliar yg ketahuan,btw harta bahllil nyampe  miliar yg ketahuan,"['btw', 'harta', 'bahllil', 'nyampe', 'miliar', 'yg', 'ketahuan']",btw harta bahllil nyampe miliar yg ketahuan
@HadriannorNor,Pecat si bahlil buat beban kakyat kebijakan nya,pecat si bahlil buat beban kakyat kebijakan nya,"['pecat', 'si', 'bahlil', 'buat', 'beban', 'kakyat', 'kebijakan', 'nya']",pecat si bahlil beban kakyat kebijakan nya
@wayyoffyouyuo868,​ @HadriannorNor kenapa waktu kerusuhan dia aman ya padahal jelas harta dia gak wajar dia ( Bahlil) mantan ojol yg jadi relawan projo,kenapa waktu kerusuhan dia aman ya padahal jelas harta dia gak wajar dia  bahlil mantan ojol yg jadi relawan projo,"['kenapa', 'waktu', 'kerusuhan', 'dia', 'aman', 'ya', 'padahal', 'jelas', 'harta', 'dia', 'gak', 'wajar', 'dia', 'bahlil', 'mantan', 'ojol', 'yg', 'jadi', 'relawan', 'projo']",kerusuhan aman ya harta gak wajar bahlil mantan ojol yg relawan projo
@Ylin2018,Lada Hitam Emang Pedas 😅,lada hitam emang pedas,"['lada', 'hitam', 'emang', 'pedas']",lada hitam emang pedas
@fandiresava,Tinggal nunggu waktu atau giliran 😅,tinggal nunggu waktu atau giliran,"['tinggal', 'nunggu', 'waktu', 'atau', 'giliran']",tinggal nunggu giliran
@ekaindrayana2656,"Cepat2 lah di ganti manusia bahlil ini,. merugikan se bangsa ini.",cepat lah di ganti manusia bahlil ini merugikan se bangsa ini,"['cepat', 'lah', 'di', 'ganti', 'manusia', 'bahlil', 'ini', 'merugikan', 'se', 'bangsa', 'ini']",cepat ganti manusia bahlil merugikan bangsa
@maizierbarid,sapa bilang bahlil itu manusia,sapa bilang bahlil itu manusia,"['sapa', 'bilang', 'bahlil', 'itu', 'manusia']",sapa bilang bahlil manusia
@hasansugibit182,Minta dinepalkan tuh goblin,minta dinepalkan tuh goblin,"['minta', 'dinepalkan', 'tuh', 'goblin']",dinepalkan tuh goblin
@sardihidayat3712,Grudukk aja mending biar mundur nih orang,grudukk aja mending biar mundur nih orang,"['grudukk', 'aja', 'mending', 'biar', 'mundur', 'nih', 'orang']",grudukk aja mending biar mundur nih orang
@AhoAho-m4z8b,​ @hasansugibit182  😂😂 eh bener juga mirip goblin ya kalau dilihat2 😂yang bisa,eh bener juga mirip goblin ya kalau dilihat yang bisa,"['eh', 'bener', 'juga', 'mirip', 'goblin', 'ya', 'kalau', 'dilihat', 'yang', 'bisa']",eh bener goblin ya
@NurulAminatur,Q lebih percaya Dan lebih cinta nabi solo sih😂,q lebih percaya dan lebih cinta nabi solo sih,"['q', 'lebih', 'percaya', 'dan', 'lebih', 'cinta', 'nabi', 'solo', 'sih']",q percaya cinta nabi solo sih
@ShalahudinAlAyubiZLA,Awokawok Sebel ya bisnisnya di usik😂😂😂😂,awokawok sebel ya bisnisnya di usik,"['awokawok', 'sebel', 'ya', 'bisnisnya', 'di', 'usik']",awokawok sebel ya bisnisnya usik
@diancilok1794,"1 pertanyaan 
Bahlil apa jenis manusia ??","pertanyaan 
bahlil apa jenis manusia","['pertanyaan', 'bahlil', 'apa', 'jenis', 'manusia']",bahlil jenis manusia
@roromera7685,"Indonesia mah kbnykan Mafia y 😭😭 sedihh Negara bnyk Mafia ... di Thailand pnya Persediaan kilang keren Gede klo Keadaan mendesak , atau Genting udh tenang, Indonesia nunggu import dulu , Pejabat Indonesia ga mikirin keadaan Negara kedepannya",indonesia mah kbnykan mafia y  sedihh negara bnyk mafia  di thailand pnya persediaan kilang keren gede klo keadaan mendesak  atau genting udh tenang indonesia nunggu import dulu  pejabat indonesia ga mikirin keadaan negara kedepannya,"['indonesia', 'mah', 'kbnykan', 'mafia', 'y', 'sedihh', 'negara', 'bnyk', 'mafia', 'di', 'thailand', 'pnya', 'persediaan', 'kilang', 'keren', 'gede', 'klo', 'keadaan', 'mendesak', 'atau', 'genting', 'udh', 'tenang', 'indonesia', 'nunggu', 'import', 'dulu', 'pejabat', 'indonesia', 'ga', 'mikirin', 'keadaan', 'negara', 'kedepannya']",indonesia mah kbnykan mafia y sedihh negara bnyk mafia thailand pnya persediaan kilang keren gede klo mendesak genting udh tenang indonesia nunggu import pejabat indonesia ga mikirin negara kedepannya
@kingpinix.124,bahlil mirip kingkong,bahlil mirip kingkong,"['bahlil', 'mirip', 'kingkong']",bahlil kingkong
@Caslonbtc,"​ @wayyoffyouyuo868  cuma 300m, yang nggak ketahuan pasti puluhan triliun",cuma m yang nggak ketahuan pasti puluhan triliun,"['cuma', 'm', 'yang', 'nggak', 'ketahuan', 'pasti', 'puluhan', 'triliun']",m nggak ketahuan puluhan triliun
@yuhdiananto8589,"Banyak yang bilang goblin bang
Bukan manusia","banyak yang bilang goblin bang
bukan manusia","['banyak', 'yang', 'bilang', 'goblin', 'bang', 'bukan', 'manusia']",bilang goblin bang manusia
@HmmpssAh-c5n,emng bahlil itu manusia? baru tau saya,emng bahlil itu manusia baru tau saya,"['emng', 'bahlil', 'itu', 'manusia', 'baru', 'tau', 'saya']",emng bahlil manusia tau
@Nail-u5u,Goblin emang gitu kelakuannya,goblin emang gitu kelakuannya,"['goblin', 'emang', 'gitu', 'kelakuannya']",goblin emang gitu kelakuannya
@dodyrainst4871,"Rame"" tegas resuffle bahlil",rame tegas resuffle bahlil,"['rame', 'tegas', 'resuffle', 'bahlil']",rame resuffle bahlil
@robertttt7605,Goblin tambang BAHLULLL,goblin tambang bahlulll,"['goblin', 'tambang', 'bahlulll']",goblin tambang bahlulll
@muhaiminsobirin,​ @wayyoffyouyuo868 itu tabungan kali,itu tabungan kali,"['itu', 'tabungan', 'kali']",tabungan kali
@soundbomber3420,"​ @Ylin2018 macam cabe rawit,,,kecil tpi pedas....",macam cabe rawitkecil tpi pedas,"['macam', 'cabe', 'rawitkecil', 'tpi', 'pedas']",cabe rawitkecil tpi pedas
@IvanAdelya,Belilin rantai...iket di pohon pisang...aja.,belilin rantaiiket di pohon pisangaja,"['belilin', 'rantaiiket', 'di', 'pohon', 'pisangaja']",belilin rantaiiket pohon pisangaja
@erinnberlina4712,"Sebaiknya dipecat saja orang orang pintar sudah tidak ada yang percaya tidak bisa dibodohi masih banyak orang orang pintar yang akan bekerja, harga dirinya derajatnya lebih tinggi tidak mempermalukan dirinya sendiri dan orang tuanya yang mendidik agar pintar",sebaiknya dipecat saja orang orang pintar sudah tidak ada yang percaya tidak bisa dibodohi masih banyak orang orang pintar yang akan bekerja harga dirinya derajatnya lebih tinggi tidak mempermalukan dirinya sendiri dan orang tuanya yang mendidik agar pintar,"['sebaiknya', 'dipecat', 'saja', 'orang', 'orang', 'pintar', 'sudah', 'tidak', 'ada', 'yang', 'percaya', 'tidak', 'bisa', 'dibodohi', 'masih', 'banyak', 'orang', 'orang', 'pintar', 'yang', 'akan', 'bekerja', 'harga', 'dirinya', 'derajatnya', 'lebih', 'tinggi', 'tidak', 'mempermalukan', 'dirinya', 'sendiri', 'dan', 'orang', 'tuanya', 'yang', 'mendidik', 'agar', 'pintar']",dipecat orang orang pintar percaya dibodohi orang orang pintar harga derajatnya mempermalukan orang tuanya mendidik pintar
